nomination_label,nomination_url
Gladsaxekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/d820d5a8-990e-47d0-a99e-29f4fda8a1ba
Grevekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/3b025e38-f1f8-476b-9573-9ba273c5f779
Guldborgsundkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/2f3e2abd-d25d-4acd-b9ff-df21e2b24ffe
Haderslevkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/cc4324db-9aea-4a6c-926d-aaed94adbec3
Hedenstedkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ca6ffc95-5dc2-48ed-8ebe-7f50b5d46191
Helsingørkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/f5626257-9041-4192-9dbf-10036ca68207
Herning Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/bea63140-4331-49e9-8e2d-b487a3ac2551
Herning Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ba3b7500-057e-4dc4-b458-be4b88f79362
Hillerødkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/96a58592-649d-444d-a232-01e34c52e43d
Himmerlandkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/dbf639f6-e893-4c93-9740-f857d2e123ab
Hjørringkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ed3519e3-5578-4afe-a3cf-238e137f15d4
Holbækkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/6ae2fd81-72b9-4a70-bd1e-3ba8f08f1f0e
Holstebrokredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/59ff805d-d400-4284-a45b-48a2837ac52b
Horsenskredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/55a89b88-61e3-43c1-90ed-00b02b8bb6c0
Hvidovrekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/cf141bd6-c40c-41ee-a61c-ebcca582a76e
Ikastkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/e6a1c1df-ec19-4714-8911-b3235128b17a
Indre Bykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ad97f1f1-a48c-4dd2-88ca-521f7d48acb2
Kalundborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/a38c2dba-50bf-43b0-b505-446d543e3fb8
Kolding Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/03bd8330-dfa2-4334-b097-8d1aef755363
Kolding Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/aed12ec7-35e8-4673-9d6a-e2aa88166466
Køgekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/2c890c36-4038-49c3-b626-a1d070ef1b39
Lollandkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/70fce42d-d6c4-4f61-8208-d5d7172d3481
Lyngbykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/25291be6-a24d-48d0-b0a6-630a01ae6c51
Mariagerfjordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/fe233af7-a56c-4c8d-8de8-43770e0217f3
Middelfartkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/32c245d6-ab48-41c2-9482-028e2612156d
Nyborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/dc83aaae-d482-437f-9f1e-5594f5f6ce23
Næstvedkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/49f84df5-3c01-42bb-9b99-bad6092edc22
Nørrebrokredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/bed63ab7-4cdc-4e2f-b2e9-3baaa27d3fdb
Odense Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/c5998ee0-ef85-47aa-a9b6-01e9e968909f
Odense Vestkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/a21af5c6-fad3-42bb-bab5-a97813f05154
Odense Østkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/308dfad0-86dd-4514-a63a-b80bb9f95c34
Randers Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/32bc2ae1-4174-4ad2-ae6a-781a50aac20f
Randers Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/0d3ca611-bf6e-439f-b6fa-20d546425083
Ringkøbingkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/17eaa01a-4207-46b7-8a6b-19774e9ceeda
Ringstedkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/a4a9a267-e2b6-46f3-a0a3-ffcb6864fe74
Roskildekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/104479ca-1231-4143-bb61-baebfdee8799
Rudersdalkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/2f37950a-e9b3-4db6-beb6-0991886b186b
Rødovrekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/e0f5c4b0-2005-4185-a45e-ab802d9882f8
Rønnekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/aafa5c15-71a6-4701-864c-a31d093ecdf2
Silkeborg Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/33e3ead3-18c6-4685-a4cf-cf0536b39825
Silkeborg Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/2d0e38ed-55c0-46a7-be67-5783f52d9d19
Skanderborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ef6dbcda-0dec-4b30-b3fe-b27d94ac4bac
Skivekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/921ee8dc-af2b-4905-be48-ef266a4f624c
Slagelsekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/c0355eaa-9406-48dd-90a2-72587d5485ab
Slotskredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/3e6c2145-3486-4863-830e-3b5d08534e62
Struerkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/4a201f75-fc19-4fb9-a47f-2668ff46bf4d
Sundbyvesterkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/c0119f51-6b95-4472-9c4f-5cef406963ca
Sundbyøsterkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/664831d4-6ed8-47b8-a7f2-59586d38d146
Svendborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/1bb13b08-7a4b-4069-9640-40340d0de9a5
Sønderborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/66e2f021-2abb-4a2c-ad71-afa4aa2069ec
Taastrupkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/1360c3a8-feac-4891-b335-0fb534628752
Thistedkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/f1575399-2736-4a05-b7dc-c5285460aab1
Tårnbykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/913579ee-c1a4-4202-9c25-5f46658bccdd
Tønderkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/a7355927-3fe1-4e57-9830-d7239a8f06ca
Valbykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/1dbd31eb-a584-4dbb-a551-63760f58351b
Vardekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/5947e1e5-9a46-40e3-8482-364201e424ba
Vejenkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/0a07a439-ac3d-4254-8fbe-e13ee880021d
Vejle Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/636d28bd-0ede-4d07-a63d-8dd8ac6cc844
Vejle Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/5e94b34f-8109-45ea-b6e3-bb4141fd28f0
Vesterbrokredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ae98a468-b1a5-431d-81ec-049a2ff8e701
Viborg Vestkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/5be251cd-f25e-4835-8f88-496dcc2f3a08
Viborg Østkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/2887ea8d-6350-4571-89c3-8036ae87113d
Vordingborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/57904c64-1dc4-4da3-9a39-d0e285e11b4c
Østerbrokredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/aa352667-df5f-492d-ad05-636770d78490
