tiktok_handle,display_name,party_name,account_type,følgere,samlet_likes,antal_videoer,hentet_dato
emillamoeller,Emilla Møller,Socialdemokratiet,kandidat,,,,2026-03-22
esatsenturkrv,Esat Senturk,Radikale Venstre,kandidat,,,,2026-03-22
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
frederikhoumannth,Frederik Houmann Thuesen,Venstre,kandidat,,,,2026-03-22
frederikklakk,Frederik Klakk,Liberal Alliance,kandidat,,,,2026-03-22
frederik_lau_petersen,Frederik Lau Petersen,Moderaterne,kandidat,,,,2026-03-22
frederik.vad,Frederik Vad,Socialdemokratiet,kandidat,,,,2026-03-22
hansandersenvenstre,Hans Andersen,Venstre,kandidat,,,,2026-03-22
hediyedptemiz,Hediye Temiz,Radikale Venstre,kandidat,,,,2026-03-22
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
hjal8,Helene Lykke,Liberal Alliance,kandidat,,,,2026-03-22
hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
iben__krog,Iben Krog,Venstre,kandidat,,,,2026-03-22
ibrahimbenli4,Ibrahim Benli,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
idaauken,Ida Auken,Socialdemokratiet,kandidat,,,,2026-03-22
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
havndrup,Isabel Havndrup Aackmann,Radikale Venstre,kandidat,,,,2026-03-22
jacob.harris.borg,Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,kandidat,,,,2026-03-22
jakobengelschmidt,Jakob Engel-Schmidt,Moderaterne,kandidat,,,,2026-03-22
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,kandidat,,,,2026-03-22
jankristoffersen,Jan Kristoffersen,Alternativet,kandidat,,,,2026-03-22
blandemaskinen,Jan Schumann,Alternativet,kandidat,,,,2026-03-22
jarlfeyling,Jarl Feyling,Socialdemokratiet,kandidat,,,,2026-03-22
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-22
jensmeilvang165,Jens Meilvang,Liberal Alliance,kandidat,,,,2026-03-22
jesperbierbaumvenstre,Jesper Bierbaum,Venstre,kandidat,,,,2026-03-22
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,kandidat,,,,2026-03-22
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
john.erik.wagner1,John Erik Wagner,Uden for partierne,kandidat,,,,2026-03-22
john.hoppe1,John Hoppe,Det Konservative Folkeparti,kandidat,,,,2026-03-22
josefinepaaske3,Josefine Paaske,Venstre,kandidat,,,,2026-03-22
kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,kandidat,,,,2026-03-22
karina_lorentzen,Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-22
karstenbyrgesen,Karsten Byrgesen,Borgernes Parti - Lars Boje Mathiesen,kandidat,,,,2026-03-22
kashifahmaddk,Kashif Ahmad,Radikale Venstre,kandidat,,,,2026-03-22
kammitz3,Katarina Ammitzbøll,Venstre,kandidat,,,,2026-03-22
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,kandidat,,,,2026-03-22
katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,kandidat,,,,2026-03-22
kikibach0,Kiki Bille Bach,Socialdemokratiet,kandidat,,,,2026-03-22
kimandkjaerdoberck,Kim Andkjær Doberck,Dansk Folkeparti,kandidat,,,,2026-03-22
kimgaarsdahl,Kim Gaarsdahl,Liberal Alliance,kandidat,,,,2026-03-22
kim.larsen183,Kim Larsen,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
kimleijensen_rv,Kim Lei-Jensen,Radikale Venstre,kandidat,,,,2026-03-22
kimvalentindk,Kim Valentin,Venstre,kandidat,,,,2026-03-22
stemstokholm,Kristian Stokholm,Radikale Venstre,kandidat,,,,2026-03-22
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,kandidat,,,,2026-03-22
lars_bregnbak,Lars Bregnbak,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,kandidat,,,,2026-03-22
larsloekke_,Lars Løkke Rasmussen,Moderaterne,kandidat,,,,2026-03-22
larschristianbrask,Lars-Christian Brask,Liberal Alliance,kandidat,,,,2026-03-22
lauraholm02,Laura Holm,Det Konservative Folkeparti,kandidat,,,,2026-03-22
lea.wermelin,Lea Wermelin,Socialdemokratiet,kandidat,,,,2026-03-22
leila.stockmarr,Leila Stockmarr,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
leneburchardt,Lene Burchardt,Det Konservative Folkeparti,kandidat,,,,2026-03-22
linerasmussen,Line Rasmussen,Radikale Venstre,kandidat,,,,2026-03-22
linea.lidell,Linea Søgaard-Lidell,Venstre,kandidat,,,,2026-03-22
lisebertelsen2022,Lise Bertelsen,Det Konservative Folkeparti,kandidat,,,,2026-03-22
brownlouise,Louise Brown,Liberal Alliance,kandidat,,,,2026-03-22
louise_louring,Louise Louring,Venstre,kandidat,,,,2026-03-22
madsolsensf,Mads Olsen,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-22
madssebbelov1,Mads Sebbelov,Moderaterne,kandidat,,,,2026-03-22
madsstrange_,Mads Strange,Liberal Alliance,kandidat,,,,2026-03-22
madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,kandidat,,,,2026-03-22
magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,kandidat,,,,2026-03-22
heunicke,Magnus Heunicke,Socialdemokratiet,kandidat,,,,2026-03-22
magnusvondreiager,Magnus Von Dreiager,Det Konservative Folkeparti,kandidat,,,,2026-03-22
maimercado_dk,Mai Mercado,Det Konservative Folkeparti,kandidat,,,,2026-03-22
malenesandfeld,Malene Sandfeld,Venstre,kandidat,,,,2026-03-22
maltejagerfyn,Malte Jäger,Liberal Alliance,kandidat,,,,2026-03-22
malte.larsen0,Malte Larsen,Socialdemokratiet,kandidat,,,,2026-03-22
venstre.marcusdanielsson,Marcus Danielsson,Venstre,kandidat,,,,2026-03-22
mariadurhuus1,Maria Durhuus,Socialdemokratiet,kandidat,,,,2026-03-22
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,kandidat,,,,2026-03-22
mariannebigum,Marianne Bigum,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-22
marleneambo,Marlene Ambo-Rasmussen,Venstre,kandidat,,,,2026-03-22
martin.lidegaard,Martin Lidegaard,Radikale Venstre,kandidat,,,,2026-03-22
martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
mathiassikora,Mathias Sikora,Radikale Venstre,kandidat,,,,2026-03-22
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
mette_insider_official,Mette Frederiksen,Socialdemokratiet,kandidat,,,,2026-03-22
mette.reissmann,Mette Reissmann,Socialdemokratiet,kandidat,,,,2026-03-22
miatang.dk,Mia Tang,Det Konservative Folkeparti,kandidat,,,,2026-03-22
michael.raskliber,Michael Rask,Liberal Alliance,kandidat,,,,2026-03-22
michael.valbjrn,Michael Valbjørn,Liberal Alliance,kandidat,,,,2026-03-22
mikael_winther,Mikael Winther,Alternativet,kandidat,,,,2026-03-22
mikkelbjorn,Mikkel Bjørn,Dansk Folkeparti,kandidat,,,,2026-03-22
mikkel4prez,Mikkel Sammy Christensen,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-22
mikkelwj2,Mikkel Westh Jepsen,Radikale Venstre,kandidat,,,,2026-03-22
milo_gaarde,Milo Gaarde,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-22
mohammad_rona,Mohammad Rona,Moderaterne,kandidat,,,,2026-03-22
morten.dahlin,Morten Dahlin,Venstre,kandidat,,,,2026-03-22
morten.hell.moder,Morten Hell,Moderaterne,kandidat,,,,2026-03-22
mortenhogh_venstre,Morten Høgh,Venstre,kandidat,,,,2026-03-22
ry0m18,Morten Ryom,Socialdemokratiet,kandidat,,,,2026-03-23
nadjaisaksen,Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,kandidat,,,,2026-03-23
nicholas.wentworth,Nicholas Wentworth,Radikale Venstre,kandidat,,,,2026-03-23
nick.zimmermann.df,Nick Zimmermann,Dansk Folkeparti,kandidat,,,,2026-03-23
nicklasverne,Nicklas Verne,Det Konservative Folkeparti,kandidat,,,,2026-03-23
sandagern,Nicolai Sandager,Liberal Alliance,kandidat,,,,2026-03-23
nielspederravn,Niels Peder Ravn,Det Konservative Folkeparti,kandidat,,,,2026-03-23
unfuckthesystem,Noah Sturis,Alternativet,kandidat,,,,2026-03-23
olebirkolesen,Ole Birk Olesen,Liberal Alliance,kandidat,,,,2026-03-23
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
peter_hummelgaard,Peter Hummelgaard,Socialdemokratiet,kandidat,,,,2026-03-23
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-23
phillipsperling1,Phillip Sperling,Venstre,kandidat,,,,2026-03-23
pil_christensen,Pil Christensen,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
qasam_nazir_ahmad,Qasam Nazir Ahmad,Alternativet,kandidat,,,,2026-03-23
rabihazadahmad,Rabih Azad-Ahmad,Radikale Venstre,kandidat,,,,2026-03-23
razfreedom,Rashid Ali,Uden for partierne,kandidat,,,,2026-03-23
rasmuslundnielsen_,Rasmus Lund-Nielsen,Moderaterne,kandidat,,,,2026-03-23
rasmusvestergaardmadsen,"Rasmus Vestergaard Madsen 7,",Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
reza_javid,Reza Javid,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
rikkeolssen,Rikke Olssen,Liberal Alliance,kandidat,,,,2026-03-23
romeotroelsgaard,Romeo Troelsgaard,Dansk Folkeparti,kandidat,,,,2026-03-23
denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
radikaleruben,Ruben Kidde,Radikale Venstre,kandidat,,,,2026-03-23
runa.friis.hansen,Runa Friis Hansen,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
runebonnelykke,Rune Bønnelykke,Dansk Folkeparti,kandidat,,,,2026-03-23
sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-23
samira.nawa,Samira Nawa,Radikale Venstre,kandidat,,,,2026-03-23
saraemilbaaring,Sara Emil Baaring,Socialdemokratiet,kandidat,,,,2026-03-23
saratvillingla,Sara Tvilling,Liberal Alliance,kandidat,,,,2026-03-23
saschafaxe1,Sascha Faxe,Alternativet,kandidat,,,,2026-03-23
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,kandidat,,,,2026-03-23
simonmeyeroff,Simon Meyer Off,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-23
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
sofie_f_villadsen,Sofie F. Villadsen,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-23
sofiewlholm,Sofie Holm,Radikale Venstre,kandidat,,,,2026-03-23
sofielippert,Sofie Lippert,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-23
sofiemosgaard,Sofie Mosgaard,Venstre,kandidat,,,,2026-03-23
steffen.friis,Steffen Friis,Liberal Alliance,kandidat,,,,2026-03-23
liberalbulldozer,Steffen Larsen,Liberal Alliance,kandidat,,,,2026-03-23
steffenfrolund,Steffen W. Frølund,Liberal Alliance,kandidat,,,,2026-03-23
susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-23
svends047,Svend Stein Olsen,Liberal Alliance,kandidat,,,,2026-03-23
sorenhomann,Søren Homann,Det Konservative Folkeparti,kandidat,,,,2026-03-23
sorenjensenla,Søren Jensen,Liberal Alliance,kandidat,,,,2026-03-23
theresabergandersen,Theresa Berg Andersen,SF - Socialistisk Folkeparti,kandidat,,,,2026-03-23
thomasandresen_venstre,Thomas Andresen,Venstre,kandidat,,,,2026-03-23
thomas_anker,Thomas Anker,Alternativet,kandidat,,,,2026-03-23
thomasdanielsendk,Thomas Danielsen,Venstre,kandidat,,,,2026-03-23
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-23
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,kandidat,,,,2026-03-23
thomasskovgaard44,Thomas Skovgaard,Moderaterne,kandidat,,,,2026-03-23
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,kandidat,,,,2026-03-23
tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,kandidat,,,,2026-03-23
tobias.b.mikkelsen,Tobias Brus Mikkelsen,Dansk Folkeparti,kandidat,,,,2026-03-23
stem_tobiasjorgensen,Tobias Jørgensen,Venstre,kandidat,,,,2026-03-23
tobiasweische,Tobias Weische,Dansk Folkeparti,kandidat,,,,2026-03-23
torsten.gejl,Torsten Gejl,Alternativet,kandidat,,,,2026-03-23
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
victoria__velasquez,Victoria Velásquez,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-23
zenia.stampe,Zenia Stampe,Radikale Venstre,kandidat,,,,2026-03-23
zeynepbardakci7,Zeynep Bardakci,Venstre,kandidat,,,,2026-03-23
zishan.ali2101,Zishan Ali,Moderaterne,kandidat,,,,2026-03-23
venstredk,Venstre,Venstre,parti_national,,,,2026-03-23
liberalalliance_,Liberal Alliance,Liberal Alliance,parti_national,,,,2026-03-23
sfpolitik,SF,SF - Socialistisk Folkeparti,parti_national,,,,2026-03-23
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,parti_national,,,,2026-03-23
moderaterne,Moderaterne,Moderaterne,parti_national,,,,2026-03-23
danskfolkeparti,Dansk Folkeparti,Dansk Folkeparti,parti_national,,,,2026-03-23
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,parti_national,,,,2026-03-23
enhedslisten.midt,Enhedslisten Midtjylland,Enhedslisten - De Rød-Grønne,parti_lokal,,,,2026-03-23
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,parti_lokal,,,,2026-03-23
venstre_odense,Venstre Odense,Venstre,parti_lokal,,,,2026-03-23
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,parti_lokal,,,,2026-03-23
socialdemokratiskungdom,DSU,Socialdemokratiet,ungdomsorganisation,,,,2026-03-23
venstresungdom,Venstres Ungdom,Venstre,ungdomsorganisation,,,,2026-03-23
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,ungdomsorganisation,,,,2026-03-23
konservativungdom,Konservativ Ungdom,Det Konservative Folkeparti,ungdomsorganisation,,,,2026-03-23
radikalungdom,Radikal Ungdom,Radikale Venstre,ungdomsorganisation,,,,2026-03-23
ungdomsfront,SUF,Enhedslisten - De Rød-Grønne,ungdomsorganisation,,,,2026-03-23
sfungdom,SF Ungdom,SF - Socialistisk Folkeparti,ungdomsorganisation,,,,2026-03-23
dfungdom,DFU,Dansk Folkeparti,ungdomsorganisation,,,,2026-03-23
ddungdom,DDU,Danmarksdemokraterne - Inger Støjberg,ungdomsorganisation,,,,2026-03-23
vuodense,VU Odense,Venstre,ungdomsorganisation_lokal,,,,2026-03-23
dsuaalborg,DSU Aalborg,Socialdemokratiet,ungdomsorganisation_lokal,,,,2026-03-23
dsu_odense,DSU Odense,Socialdemokratiet,ungdomsorganisation_lokal,,,,2026-03-23
dsu_snderborg,DSU Sønderborg,Socialdemokratiet,ungdomsorganisation_lokal,,,,2026-03-23
rgu.aarhus,RGU Aarhus,Enhedslisten - De Rød-Grønne,ungdomsorganisation_lokal,,,,2026-03-23
rgu_kbh,RGU København,Enhedslisten - De Rød-Grønne,ungdomsorganisation_lokal,,,,2026-03-23
modstroemmen,Modstrømmen,Ingen partitilknytning,fanpage_kommentar,,,,2026-03-23
df.danmark,DF Danmark,Dansk Folkeparti,fanpage_kommentar,,,,2026-03-23
dfnyheder,DFNyheder,Dansk Folkeparti,fanpage_kommentar,,,,2026-03-23
atomkraftjatak,Atomkraft Ja Tak,Ingen partitilknytning,fanpage_kommentar,,,,2026-03-23
kaostvdanmark,KaosTV Danmark,Ingen partitilknytning,fanpage_kommentar,,,,2026-03-23
tv2echo,TV 2 ECHO,Ingen partitilknytning,medie,,,,2026-03-23
ayhankilic_moderaterne,Ayhan Kilic,Moderaterne,kandidat,,,,2026-03-23
carstenbedsted,Carsten Bedsted,Radikale Venstre,kandidat,,,,2026-03-23
cecilieldh,Cecilie Liv Hansen,Liberal Alliance,kandidat,,,,2026-03-23
lone.hansen0,Lone Hansen,Moderaterne,kandidat,,,,2026-03-23
mrmesserschmidt,Morten Messerschmidt,Dansk Folkeparti,kandidat,,,,2026-03-23
helenaartmann,Helena Artmann Andresen,Liberal Alliance,kandidat,,,,2026-03-23
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,kandidat,,,,2026-03-23
20260403_130924_1bb33a,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,kandidat,111,821,26,2026-04-03
20260403_130924_1bb33a,andersvistisen,Anders Vistisen,Dansk Folkeparti,kandidat,5677,173600,136,2026-04-03
20260403_130924_1bb33a,anette.jensen.smi,Anette Jensen Smith,Alternativet,kandidat,0,5,1,2026-04-03
20260403_130924_1bb33a,anjalund753,Anja Lund,Venstre,kandidat,74,190,5,2026-04-03
20260403_130924_1bb33a,annesophierv,Anne Sophie Callesen,Radikale Venstre,kandidat,427,17200,46,2026-04-03
20260403_130924_1bb33a,ayhankilic_moderaterne,Ayhan Kilic,Moderaterne,kandidat,235,4367,57,2026-04-03
20260403_130924_1bb33a,barbarakrarup,Barbara Krarup Hansen,Radikale Venstre,kandidat,474,948,67,2026-04-03
20260403_130924_1bb33a,betinakastbjerg,Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,kandidat,38,54,2,2026-04-03
20260403_130924_1bb33a,bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,kandidat,150,2481,39,2026-04-03
20260403_130924_1bb33a,carina.til.folketinget,Carina Høedt,Det Konservative Folkeparti,kandidat,81,3042,36,2026-04-03
20260403_130924_1bb33a,carlandersen27,Carl Andersen,Liberal Alliance,kandidat,784,7242,90,2026-04-03
20260403_130924_1bb33a,carl.emil.lind.ch,Carl Emil Lind,Socialdemokratiet,kandidat,570,16900,21,2026-04-03
20260403_130924_1bb33a,carstenbedsted,Carsten Bedsted,Radikale Venstre,kandidat,396,11300,38,2026-04-03
20260403_130924_1bb33a,christiankirk00,Christian Kirk,Dansk Folkeparti,kandidat,1001,19300,25,2026-04-03
20260403_130924_1bb33a,coco.esperas,Coco Mette Cecilie Kjærgaard,Alternativet,kandidat,72,1179,66,2026-04-03
20260403_130924_1bb33a,deniserostgaard,Denise Rostgaard,Dansk Folkeparti,kandidat,537,10100,18,2026-04-03
20260403_130924_1bb33a,flydtkjaer,Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,kandidat,12,26,1,2026-04-03
20260403_130924_1bb33a,dinamyrupraabjerg,Dina Andersen-Raabjerg,Det Konservative Folkeparti,kandidat,6311,60900,102,2026-04-03
20260403_130924_1bb33a,edith_vels,Edith Vels,Enhedslisten - De Rød-Grønne,kandidat,128,322,6,2026-04-03
20260403_130924_1bb33a,ellenemilie_,Ellen Emilie,Moderaterne,kandidat,16300,193900,207,2026-04-03
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,kandidat,155,2858,68,2026-04-03
20260403_130924_1bb33a,emillamoeller,Emilla Møller,Socialdemokratiet,kandidat,1072,52100,109,2026-04-03
20260403_130924_1bb33a,esatsenturkrv,Esat Senturk,Radikale Venstre,kandidat,401,4069,56,2026-04-03
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,kandidat,1414,41900,419,2026-04-03
20260403_130924_1bb33a,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,kandidat,1358,39800,17,2026-04-03
20260403_130924_1bb33a,frederikklakk,Frederik Klakk,Liberal Alliance,kandidat,104,526,13,2026-04-03
20260403_130924_1bb33a,frederik_lau_petersen,Frederik Lau Petersen,Moderaterne,kandidat,113,12300,28,2026-04-03
20260403_130924_1bb33a,frederik.vad,Frederik Vad,Socialdemokratiet,kandidat,1697,32600,70,2026-04-03
20260403_130924_1bb33a,hansandersenvenstre,Hans Andersen,Venstre,kandidat,158,182,4,2026-04-03
20260403_130924_1bb33a,hediyedptemiz,Hediye Temiz,Radikale Venstre,kandidat,2135,37800,53,2026-04-03
20260403_130924_1bb33a,helenaartmann,Helena Artmann Andresen,Liberal Alliance,kandidat,7194,75300,72,2026-04-03
20260403_130924_1bb33a,helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,kandidat,287,4013,32,2026-04-03
20260403_130924_1bb33a,hjal8,Helene Lykke,Liberal Alliance,kandidat,327,8544,147,2026-04-03
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,kandidat,110,1439,20,2026-04-03
20260403_130924_1bb33a,iben__krog,Iben Krog,Venstre,kandidat,162,6050,32,2026-04-03
20260403_130924_1bb33a,ibrahimbenli4,Ibrahim Benli,Enhedslisten - De Rød-Grønne,kandidat,573,3909,14,2026-04-03
20260403_130924_1bb33a,idaauken,Ida Auken,Socialdemokratiet,kandidat,1154,24300,54,2026-04-03
20260403_130924_1bb33a,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,kandidat,18000,265500,32,2026-04-03
20260403_130924_1bb33a,katrinedaugaard26,Katrine Daugaard,Liberal Alliance,kandidat,329,6661,32,2026-04-03
20260403_130924_1bb33a,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,kandidat,282,1146,14,2026-04-03
20260403_130924_1bb33a,kikibach0,Kiki Bille Bach,Socialdemokratiet,kandidat,1854,23800,15,2026-04-03
20260403_130924_1bb33a,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,kandidat,3583,37300,86,2026-04-03
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,kandidat,286,3085,32,2026-04-03
20260403_130924_1bb33a,lauraholm02,Laura Holm,Det Konservative Folkeparti,kandidat,818,10900,29,2026-04-03
20260403_130924_1bb33a,lea.wermelin,Lea Wermelin,Socialdemokratiet,kandidat,934,37000,33,2026-04-03
20260403_130924_1bb33a,leila.stockmarr,Leila Stockmarr,Enhedslisten - De Rød-Grønne,kandidat,111,697,4,2026-04-03
20260403_130924_1bb33a,leneburchardt,Lene Burchardt,Det Konservative Folkeparti,kandidat,140,571,26,2026-04-03
20260403_130924_1bb33a,linerasmussen,Line Rasmussen,Radikale Venstre,kandidat,216,2560,37,2026-04-03
20260403_130924_1bb33a,linea.lidell,Linea Søgaard-Lidell,Venstre,kandidat,692,31000,66,2026-04-03
20260403_130924_1bb33a,lisebertelsen2022,Lise Bertelsen,Det Konservative Folkeparti,kandidat,32,56,3,2026-04-03
20260403_130924_1bb33a,lone.hansen0,Lone Hansen,Moderaterne,kandidat,93,593,121,2026-04-03
20260403_130924_1bb33a,brownlouise,Louise Brown,Liberal Alliance,kandidat,621,4631,15,2026-04-04
20260403_130924_1bb33a,louise_louring,Louise Louring,Venstre,kandidat,1066,38800,89,2026-04-04
20260403_130924_1bb33a,madsolsensf,Mads Olsen,SF - Socialistisk Folkeparti,kandidat,2090,88600,270,2026-04-04
20260403_130924_1bb33a,madssebbelov1,Mads Sebbelov,Moderaterne,kandidat,1023,22000,53,2026-04-04
20260403_130924_1bb33a,madsstrange_,Mads Strange,Liberal Alliance,kandidat,10200,315300,198,2026-04-04
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,kandidat,1215,26000,81,2026-04-04
20260403_130924_1bb33a,magnusgeorgjensen,Magnus Georg Jensen,Radikale Venstre,kandidat,4902,175300,64,2026-04-04
20260403_130924_1bb33a,heunicke,Magnus Heunicke,Socialdemokratiet,kandidat,1146,14900,17,2026-04-04
20260403_130924_1bb33a,magnusvondreiager,Magnus Von Dreiager,Det Konservative Folkeparti,kandidat,237,1575,13,2026-04-04
20260403_130924_1bb33a,maimercado_dk,Mai Mercado,Det Konservative Folkeparti,kandidat,1581,24200,46,2026-04-04
20260403_130924_1bb33a,malenesandfeld,Malene Sandfeld,Venstre,kandidat,227,1817,30,2026-04-04
