profile_id,url,status,candidate_name,party,age,education,birthdate,error
58,https://www.altinget.dk/kandidattest/FT26/profil/058,ok,Natasja Bruun Knudsen,Det Konservative Folkeparti,40 år,Bachelor-/diplomuddannelse,1985-11-23T00:00:00,
59,https://www.altinget.dk/kandidattest/FT26/profil/059,ok,Nicklas Verne,Det Konservative Folkeparti,25 år,Kandidat-/masteruddannelse,2000-05-13T00:00:00,
60,https://www.altinget.dk/kandidattest/FT26/profil/060,ok,Niels Peder Ravn,Det Konservative Folkeparti,58 år,Bachelor-/diplomuddannelse,1967-06-18T00:00:00,
61,https://www.altinget.dk/kandidattest/FT26/profil/061,ok,Nikolaj Bøgh,Det Konservative Folkeparti,57 år,Kandidat-/masteruddannelse,1969-01-20T00:00:00,
62,https://www.altinget.dk/kandidattest/FT26/profil/062,ok,Per Larsen,Det Konservative Folkeparti,60 år,Erhvervsuddannelse,1965-06-27T00:00:00,
63,https://www.altinget.dk/kandidattest/FT26/profil/063,ok,Peter Sporleder,Det Konservative Folkeparti,54 år,Kandidat-/masteruddannelse,1971-11-17T00:00:00,
64,https://www.altinget.dk/kandidattest/FT26/profil/064,ok,Rasmus Elkjær Larsen,Det Konservative Folkeparti,54 år,Seminaruddannelse,,
65,https://www.altinget.dk/kandidattest/FT26/profil/065,ok,Rasmus Sandvej,Det Konservative Folkeparti,,Bachelor-/diplomuddannelse,,
66,https://www.altinget.dk/kandidattest/FT26/profil/066,ok,René Flou,Det Konservative Folkeparti,,Ikke oplyst,,
67,https://www.altinget.dk/kandidattest/FT26/profil/067,missing_candidate,,,,,,Could not locate candidate name on page
68,https://www.altinget.dk/kandidattest/FT26/profil/068,ok,Siff Tang Lassen,Det Konservative Folkeparti,24 år,Bachelor-/diplomuddannelse,,
69,https://www.altinget.dk/kandidattest/FT26/profil/069,ok,Sigurd Hebo Lønholdt,Det Konservative Folkeparti,26 år,Kandidat-/masteruddannelse,1999-10-01T00:00:00,
70,https://www.altinget.dk/kandidattest/FT26/profil/070,ok,Sofie Therese Svendsen,Det Konservative Folkeparti,23 år,Ikke oplyst,,
71,https://www.altinget.dk/kandidattest/FT26/profil/071,ok,Søren Homann,Det Konservative Folkeparti,49 år,Gymnasial uddannelse,,
72,https://www.altinget.dk/kandidattest/FT26/profil/072,ok,Tina Cartey Hansen,Det Konservative Folkeparti,47 år,Bachelor-/diplomuddannelse,1978-06-07T00:00:00,
73,https://www.altinget.dk/kandidattest/FT26/profil/073,ok,Tobias Bennedsen,Det Konservative Folkeparti,39 år,Bachelor-/diplomuddannelse,1986-04-14T00:00:00,
74,https://www.altinget.dk/kandidattest/FT26/profil/074,ok,Viktor Thyregod Sivertsen,Det Konservative Folkeparti,22 år,Bachelor-/diplomuddannelse,,
75,https://www.altinget.dk/kandidattest/FT26/profil/075,ok,Vilhelm Møller,Det Konservative Folkeparti,50 år,Bachelor-/diplomuddannelse,1975-05-18T00:00:00,
76,https://www.altinget.dk/kandidattest/FT26/profil/076,ok,Eik Dahl Bidstrup,Liberal Alliance,51 år,Kandidat-/masteruddannelse,1974-11-05T00:00:00,
77,https://www.altinget.dk/kandidattest/FT26/profil/077,ok,Katrine Daugaard,Liberal Alliance,44 år,Kandidat-/masteruddannelse,1981-10-01T00:00:00,
78,https://www.altinget.dk/kandidattest/FT26/profil/078,ok,Malte Jäger,Liberal Alliance,23 år,Bachelor-/diplomuddannelse,,
79,https://www.altinget.dk/kandidattest/FT26/profil/079,ok,Pia Offer Madsen,Liberal Alliance,52 år,Kandidat-/masteruddannelse,1973-07-11T00:00:00,
80,https://www.altinget.dk/kandidattest/FT26/profil/080,missing_candidate,,,,,,Could not locate candidate name on page
81,https://www.altinget.dk/kandidattest/FT26/profil/081,ok,Martin Lissner,Liberal Alliance,,Ikke oplyst,,
82,https://www.altinget.dk/kandidattest/FT26/profil/082,ok,Tonny Vest,Liberal Alliance,,Ikke oplyst,,
83,https://www.altinget.dk/kandidattest/FT26/profil/083,ok,Thomas Estrup,Liberal Alliance,51 år,Kandidat-/masteruddannelse,1975-03-25T00:00:00,
84,https://www.altinget.dk/kandidattest/FT26/profil/084,ok,Sólbjørg Jakobsen,Liberal Alliance,34 år,Kandidat-/masteruddannelse,1991-08-08T00:00:00,
85,https://www.altinget.dk/kandidattest/FT26/profil/085,ok,HP Beck,Liberal Alliance,47 år,Erhvervsuddannelse,,
86,https://www.altinget.dk/kandidattest/FT26/profil/086,ok,Kenneth Skatka Hammer,Liberal Alliance,39 år,Bachelor-/diplomuddannelse,,
87,https://www.altinget.dk/kandidattest/FT26/profil/087,ok,Anders Peter Hansen,Liberal Alliance,30 år,Kandidat-/masteruddannelse,,
88,https://www.altinget.dk/kandidattest/FT26/profil/088,ok,Kim Gaarsdahl,Liberal Alliance,38 år,Gymnasial uddannelse,,
89,https://www.altinget.dk/kandidattest/FT26/profil/089,ok,Bo Ritterbusch,Liberal Alliance,57 år,Ikke oplyst,,
90,https://www.altinget.dk/kandidattest/FT26/profil/090,ok,Mark Hellerup,Liberal Alliance,38 år,Kandidat-/masteruddannelse,1987-09-09T00:00:00,
91,https://www.altinget.dk/kandidattest/FT26/profil/091,ok,Kresten Solvang Larsen,Liberal Alliance,35 år,Gymnasial uddannelse,,
92,https://www.altinget.dk/kandidattest/FT26/profil/092,ok,Thomas Heuniche,Liberal Alliance,,Ikke oplyst,,
93,https://www.altinget.dk/kandidattest/FT26/profil/093,ok,Jimmy Abel Nielsen,Liberal Alliance,,Ikke oplyst,,
94,https://www.altinget.dk/kandidattest/FT26/profil/094,ok,Frederik Blicher Pedersen,Liberal Alliance,,Bachelor-/diplomuddannelse,,
95,https://www.altinget.dk/kandidattest/FT26/profil/095,ok,Dan Gaardboe Rueskov,Liberal Alliance,45 år,Erhvervsuddannelse,,
96,https://www.altinget.dk/kandidattest/FT26/profil/096,ok,Thomas Christiansen,Liberal Alliance,,Ikke oplyst,,
97,https://www.altinget.dk/kandidattest/FT26/profil/097,ok,Sara Tvilling,Liberal Alliance,,Ikke oplyst,,
98,https://www.altinget.dk/kandidattest/FT26/profil/098,ok,Rikke Olssen,Liberal Alliance,48 år,Erhvervsuddannelse,,
99,https://www.altinget.dk/kandidattest/FT26/profil/099,ok,Peter Larsen,Liberal Alliance,54 år,Gymnasial uddannelse,,
100,https://www.altinget.dk/kandidattest/FT26/profil/100,ok,Lukas Vestergaard,Liberal Alliance,19 år,Gymnasial uddannelse,2007-03-22T00:00:00,
101,https://www.altinget.dk/kandidattest/FT26/profil/101,ok,Steffen W. Frølund,Liberal Alliance,41 år,Kandidat-/masteruddannelse,,
102,https://www.altinget.dk/kandidattest/FT26/profil/102,ok,Christopher Arzrouni,Liberal Alliance,58 år,Kandidat-/masteruddannelse,,
103,https://www.altinget.dk/kandidattest/FT26/profil/103,ok,Chelle Lilly Albøge,Liberal Alliance,33 år,Gymnasial uddannelse,,
104,https://www.altinget.dk/kandidattest/FT26/profil/104,ok,Philip Solberg,Liberal Alliance,18 år,Gymnasial uddannelse,,
105,https://www.altinget.dk/kandidattest/FT26/profil/105,ok,Lars Høyer Holmqvist,Liberal Alliance,48 år,Kandidat-/masteruddannelse,1978-02-27T00:00:00,
106,https://www.altinget.dk/kandidattest/FT26/profil/106,ok,Sten Schmidl Søbjærg,Liberal Alliance,53 år,Ph.d.-uddannelse,,
107,https://www.altinget.dk/kandidattest/FT26/profil/107,missing_candidate,,,,,,Could not locate candidate name on page
108,https://www.altinget.dk/kandidattest/FT26/profil/108,ok,Robert Mørck,Liberal Alliance,44 år,Kandidat-/masteruddannelse,,
109,https://www.altinget.dk/kandidattest/FT26/profil/109,ok,Steffen Sjørslev,Liberal Alliance,29 år,Ikke oplyst,,
110,https://www.altinget.dk/kandidattest/FT26/profil/110,ok,Johannes Joyce,Liberal Alliance,,Ikke oplyst,,
111,https://www.altinget.dk/kandidattest/FT26/profil/111,ok,Kira Danholm,Liberal Alliance,35 år,Bachelor-/diplomuddannelse,,
112,https://www.altinget.dk/kandidattest/FT26/profil/112,ok,Steen Tofteng,Liberal Alliance,66 år,Erhvervsuddannelse,1959-04-12T00:00:00,
113,https://www.altinget.dk/kandidattest/FT26/profil/113,ok,Ole Birk Olesen,Liberal Alliance,53 år,Bachelor-/diplomuddannelse,1972-12-21T00:00:00,
114,https://www.altinget.dk/kandidattest/FT26/profil/114,ok,Mads Strange,Liberal Alliance,26 år,Kandidat-/masteruddannelse,,
115,https://www.altinget.dk/kandidattest/FT26/profil/115,ok,Alexander Ryle,Liberal Alliance,35 år,Kandidat-/masteruddannelse,1990-10-17T00:00:00,
116,https://www.altinget.dk/kandidattest/FT26/profil/116,ok,Merete Riisager,Liberal Alliance,50 år,Kandidat-/masteruddannelse,1976-03-01T00:00:00,
117,https://www.altinget.dk/kandidattest/FT26/profil/117,ok,Per Nørgaard Andersen,Liberal Alliance,61 år,Kandidat-/masteruddannelse,1964-10-22T00:00:00,
118,https://www.altinget.dk/kandidattest/FT26/profil/118,ok,Charlotte Nellemann,Liberal Alliance,52 år,Bachelor-/diplomuddannelse,,
119,https://www.altinget.dk/kandidattest/FT26/profil/119,ok,Line Østergaard Olsen,Liberal Alliance,46 år,Bachelor-/diplomuddannelse,,
120,https://www.altinget.dk/kandidattest/FT26/profil/120,ok,Laura Emilie Fabricius-Lauritzen,Liberal Alliance,32 år,Kandidat-/masteruddannelse,1994-02-22T00:00:00,
121,https://www.altinget.dk/kandidattest/FT26/profil/121,missing_candidate,,,,,,Could not locate candidate name on page
122,https://www.altinget.dk/kandidattest/FT26/profil/122,missing_candidate,,,,,,Could not locate candidate name on page
123,https://www.altinget.dk/kandidattest/FT26/profil/123,ok,Torben Guldbæk,Liberal Alliance,59 år,Erhvervsuddannelse,1966-04-11T00:00:00,
124,https://www.altinget.dk/kandidattest/FT26/profil/124,ok,Freja Brandhøj,Liberal Alliance,38 år,Ikke oplyst,,
125,https://www.altinget.dk/kandidattest/FT26/profil/125,ok,Jonas Juhl,Liberal Alliance,25 år,Gymnasial uddannelse,,
126,https://www.altinget.dk/kandidattest/FT26/profil/126,missing_candidate,,,,,,Could not locate candidate name on page
127,https://www.altinget.dk/kandidattest/FT26/profil/127,ok,Hanne Bjørn,Liberal Alliance,54 år,Erhvervsuddannelse,1972-03-25T00:00:00,
128,https://www.altinget.dk/kandidattest/FT26/profil/128,ok,Jacqueline Kristensen,Liberal Alliance,56 år,Seminaruddannelse,1970-03-12T00:00:00,
129,https://www.altinget.dk/kandidattest/FT26/profil/129,ok,Patrizia Venturelli Christensen,Liberal Alliance,54 år,Ph.d.-uddannelse,,
130,https://www.altinget.dk/kandidattest/FT26/profil/130,ok,Michael Melchert,Liberal Alliance,53 år,Bachelor-/diplomuddannelse,,
131,https://www.altinget.dk/kandidattest/FT26/profil/131,ok,Pernille Vermund,Liberal Alliance,50 år,Kandidat-/masteruddannelse,,
132,https://www.altinget.dk/kandidattest/FT26/profil/132,ok,Joachim Riis,Liberal Alliance,,Erhvervsuddannelse,,
133,https://www.altinget.dk/kandidattest/FT26/profil/133,ok,Lars-Christian Brask,Liberal Alliance,62 år,Gymnasial uddannelse,1963-05-25T00:00:00,
134,https://www.altinget.dk/kandidattest/FT26/profil/134,ok,Mads Brenøe,Liberal Alliance,37 år,Kandidat-/masteruddannelse,,
135,https://www.altinget.dk/kandidattest/FT26/profil/135,ok,Martin Mickey Pedersen,Liberal Alliance,38 år,Grundskole,1987-08-06T00:00:00,
136,https://www.altinget.dk/kandidattest/FT26/profil/136,ok,Frederik Grünfeld,Liberal Alliance,30 år,Gymnasial uddannelse,1996-02-25T00:00:00,
137,https://www.altinget.dk/kandidattest/FT26/profil/137,ok,Michael Rask,Liberal Alliance,,Gymnasial uddannelse,,
138,https://www.altinget.dk/kandidattest/FT26/profil/138,ok,Sandra Skalvig,Liberal Alliance,35 år,Bachelor-/diplomuddannelse,1990-10-09T00:00:00,
139,https://www.altinget.dk/kandidattest/FT26/profil/139,ok,Nicolai Sandager,Liberal Alliance,49 år,Gymnasial uddannelse,,
140,https://www.altinget.dk/kandidattest/FT26/profil/140,ok,Henrik B. Dynesen,Liberal Alliance,51 år,Kandidat-/masteruddannelse,,
141,https://www.altinget.dk/kandidattest/FT26/profil/141,ok,Julie Memborg,Liberal Alliance,49 år,Gymnasial uddannelse,1976-10-16T00:00:00,
142,https://www.altinget.dk/kandidattest/FT26/profil/142,ok,Steffen Friis,Liberal Alliance,36 år,Erhvervsuddannelse,1990-03-15T00:00:00,
143,https://www.altinget.dk/kandidattest/FT26/profil/143,ok,Carsten Abildtrup Ranum,Liberal Alliance,55 år,Bachelor-/diplomuddannelse,,
144,https://www.altinget.dk/kandidattest/FT26/profil/144,missing_candidate,,,,,,Could not locate candidate name on page
145,https://www.altinget.dk/kandidattest/FT26/profil/145,ok,Frederik Max Krag,Liberal Alliance,20 år,Ikke oplyst,,
146,https://www.altinget.dk/kandidattest/FT26/profil/146,ok,Elva Bille Klem,Liberal Alliance,,Ikke oplyst,,
147,https://www.altinget.dk/kandidattest/FT26/profil/147,ok,Susan H. Møller,Liberal Alliance,49 år,Bachelor-/diplomuddannelse,1976-12-28T00:00:00,
148,https://www.altinget.dk/kandidattest/FT26/profil/148,ok,Ulrik Lassen,Liberal Alliance,58 år,Ikke oplyst,,
149,https://www.altinget.dk/kandidattest/FT26/profil/149,ok,Brian Prehn,Liberal Alliance,51 år,Erhvervsuddannelse,,
150,https://www.altinget.dk/kandidattest/FT26/profil/150,ok,Nikolaj Brink Olsen,Liberal Alliance,58 år,Erhvervsuddannelse,,
151,https://www.altinget.dk/kandidattest/FT26/profil/151,ok,Kasper Schneider,Liberal Alliance,42 år,Bachelor-/diplomuddannelse,,
152,https://www.altinget.dk/kandidattest/FT26/profil/152,ok,Steffen Larsen,Liberal Alliance,42 år,Erhvervsuddannelse,1983-12-05T00:00:00,
153,https://www.altinget.dk/kandidattest/FT26/profil/153,ok,Kim Alexander Jensen,Liberal Alliance,39 år,Kandidat-/masteruddannelse,1987-01-14T00:00:00,
154,https://www.altinget.dk/kandidattest/FT26/profil/154,ok,Helena Artmann Andresen,Liberal Alliance,24 år,Gymnasial uddannelse,2001-09-26T00:00:00,
155,https://www.altinget.dk/kandidattest/FT26/profil/155,ok,Cecilie Liv Hansen,Liberal Alliance,24 år,Bachelor-/diplomuddannelse,,
156,https://www.altinget.dk/kandidattest/FT26/profil/156,ok,Christian Jørgensen,Liberal Alliance,63 år,Gymnasial uddannelse,,
157,https://www.altinget.dk/kandidattest/FT26/profil/157,ok,Carl Andersen,Liberal Alliance,31 år,Kandidat-/masteruddannelse,1995-01-27T00:00:00,
158,https://www.altinget.dk/kandidattest/FT26/profil/158,ok,Helene Lykke,Liberal Alliance,30 år,Gymnasial uddannelse,,
159,https://www.altinget.dk/kandidattest/FT26/profil/159,missing_candidate,,,,,,Could not locate candidate name on page
160,https://www.altinget.dk/kandidattest/FT26/profil/160,ok,John Rasmussen,Liberal Alliance,37 år,Kandidat-/masteruddannelse,1989-01-11T00:00:00,
161,https://www.altinget.dk/kandidattest/FT26/profil/161,ok,Christian Fini Mosegaard,Liberal Alliance,23 år,Erhvervsuddannelse,,
162,https://www.altinget.dk/kandidattest/FT26/profil/162,missing_candidate,,,,,,Could not locate candidate name on page
163,https://www.altinget.dk/kandidattest/FT26/profil/163,ok,Troels Simonsen,Liberal Alliance,48 år,Kandidat-/masteruddannelse,,
164,https://www.altinget.dk/kandidattest/FT26/profil/164,ok,Frederik Klakk,Liberal Alliance,36 år,Bachelor-/diplomuddannelse,1990-04-03T00:00:00,
165,https://www.altinget.dk/kandidattest/FT26/profil/165,ok,Carsten Bach,Liberal Alliance,50 år,Kandidat-/masteruddannelse,1975-12-09T00:00:00,
166,https://www.altinget.dk/kandidattest/FT26/profil/166,ok,Helle Jensen,Liberal Alliance,47 år,Bachelor-/diplomuddannelse,,
167,https://www.altinget.dk/kandidattest/FT26/profil/167,ok,Thorbjørn Jacobsen,Liberal Alliance,45 år,Bachelor-/diplomuddannelse,,
168,https://www.altinget.dk/kandidattest/FT26/profil/168,ok,Svend Stein Olsen,Liberal Alliance,22 år,Bachelor-/diplomuddannelse,,
169,https://www.altinget.dk/kandidattest/FT26/profil/169,missing_candidate,,,,,,Could not locate candidate name on page
170,https://www.altinget.dk/kandidattest/FT26/profil/170,ok,Steffen Troldtoft,Liberal Alliance,,Kandidat-/masteruddannelse,,
171,https://www.altinget.dk/kandidattest/FT26/profil/171,ok,Michael Valbjørn,Liberal Alliance,48 år,Bachelor-/diplomuddannelse,,
172,https://www.altinget.dk/kandidattest/FT26/profil/172,ok,Alex Vanopslagh,Liberal Alliance,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,
173,https://www.altinget.dk/kandidattest/FT26/profil/173,ok,Jens Meilvang,Liberal Alliance,45 år,Bachelor-/diplomuddannelse,,
174,https://www.altinget.dk/kandidattest/FT26/profil/174,ok,Louise Brown,Liberal Alliance,45 år,Bachelor-/diplomuddannelse,1980-10-15T00:00:00,
175,https://www.altinget.dk/kandidattest/FT26/profil/175,ok,Chris Hvidberg,Liberal Alliance,54 år,Erhvervsuddannelse,1971-09-03T00:00:00,
176,https://www.altinget.dk/kandidattest/FT26/profil/176,ok,Niels Povlsgaard,Liberal Alliance,46 år,Kandidat-/masteruddannelse,,
177,https://www.altinget.dk/kandidattest/FT26/profil/177,ok,Søren Jensen,Liberal Alliance,27 år,Kandidat-/masteruddannelse,,
178,https://www.altinget.dk/kandidattest/FT26/profil/178,ok,Lars Abildskov,Liberal Alliance,61 år,Kandidat-/masteruddannelse,,
179,https://www.altinget.dk/kandidattest/FT26/profil/179,ok,Michael Klausen,Liberal Alliance,49 år,Erhvervsuddannelse,,
180,https://www.altinget.dk/kandidattest/FT26/profil/180,ok,Kim Møller-Nielsen,Liberal Alliance,49 år,Kandidat-/masteruddannelse,1976-08-31T00:00:00,
181,https://www.altinget.dk/kandidattest/FT26/profil/181,ok,Steffen Holme Helledie,Radikale Venstre,36 år,Kandidat-/masteruddannelse,1989-10-12T00:00:00,
182,https://www.altinget.dk/kandidattest/FT26/profil/182,ok,Jacob Robsøe,Radikale Venstre,29 år,Kandidat-/masteruddannelse,,
183,https://www.altinget.dk/kandidattest/FT26/profil/183,ok,Susanne Krebs,Radikale Venstre,60 år,Seminaruddannelse,1965-10-09T00:00:00,
184,https://www.altinget.dk/kandidattest/FT26/profil/184,ok,Dorthe Kerschus,Radikale Venstre,46 år,Bachelor-/diplomuddannelse,,
185,https://www.altinget.dk/kandidattest/FT26/profil/185,ok,Marie Wandel,Radikale Venstre,52 år,Ph.d.-uddannelse,1973-07-11T00:00:00,
186,https://www.altinget.dk/kandidattest/FT26/profil/186,ok,Pia Elberg,Radikale Venstre,57 år,Kandidat-/masteruddannelse,,
187,https://www.altinget.dk/kandidattest/FT26/profil/187,ok,Carsten Bedsted,Radikale Venstre,54 år,Kandidat-/masteruddannelse,,
