candidate_name,party_name,storkreds,query_used,search_engine,query_phase,result_title,result_snippet,profile_url,profile_handle,handle_score,name_score,party_score,context_score,total_score,status
Allan Orland,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,"site:tiktok.com ""Allan Orland""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Allan+Orland%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Allan Svendsen,Dansk Folkeparti,Sydjyllands Storkreds,"site:tiktok.com ""@allansvendsen""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40allansvendsen%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Amanda Heitmann,Venstre,Fyns Storkreds,"site:tiktok.com ""Amanda Heitmann""",ddg,1,amanda (@ amanda _ heitmann _) | TikTok,amanda(@ amanda _ heitmann _) on TikTok | 157.2K Likes. 7.3K Followers. Iowa girl momma .Watch the latest video from amanda(@ amanda _ heitmann _).,https://www.tiktok.com/@amanda_heitmann_,amanda_heitmann_,55,25,8,0,88,high_confidence
Anastasia Milthers,Radikale Venstre,Fyns Storkreds,"site:tiktok.com ""Anastasia Milthers""",ddg,1,"En hilsen fra Vollsmose #politiktok #fyn #odense #dkpol #fyp ... Det her er en lover-kampagne #taylorswift # ... - TikTok Make it make sense #politiktok #fyp #dkpol #fyn #skole | TikTok Lad nu bare folk være hvem de er #politiktok#fyn#lgbtplus# ... Hvad skal en pige gøre for at få noget stærkere ... - TikTok Glædelig kampdag #internationalwomansday # ... - TikTok Det er på tide, at vi tager Danmark tilbage fra DF’s ...","508 Likes, TikTok video from anastasia_milthers (@ anastasia_milthers ): “En hilsen fra Vollsmose #politiktok #fyn #odense #dkpol #fyp”. Stitch på vejoriginal lyd - anastasia_milthers . 198 Likes, Tik",https://www.tiktok.com/@anastasia_milthers,anastasia_milthers,55,25,8,0,88,high_confidence
Anders Andreasen,Socialdemokratiet,Vestjyllands Storkreds,"site:tiktok.com ""@andersandreasen""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40andersandreasen%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anders Bo Larsen,Venstre,Københavns Omegns Storkreds,"site:tiktok.com ""@anderslarsen""",ddg,4,Anders Larsen (@ anderslarsen 91) | TikTok,Anders Larsen (@ anderslarsen 91) på TikTok |18.9K likes.1756 følgere.Sønderjyde Tidligere Maskinfører nu trucker.Se den seneste video fra Anders Larsen (@ anderslarsen 91).,https://www.tiktok.com/@anderslarsen91,anderslarsen91,34,16,8,0,58,possible_match
Anders Bork,Dansk Folkeparti,Sjællands Storkreds,"site:tiktok.com ""@anders.bork""",ddg,4,red dead redemption 2 outfits django｜Поиск в TikTok,Лайки: 350.Видео в TikTok (тикток) от пользователя Anders J. Bork ™ (@rdo. bork ): «What movie should I do next? #django #djangounchained #rdo #rdr #rdr24. Репосты. rdo. bork . 350.,https://www.tiktok.com/discover/red-dead-redemption-2-outfits-django?lang=ru-ru,,0,25,0,0,25,manual_review
Anders Bøge,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,"site:tiktok.com ""@andersboge""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40andersboge%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anders Fausbøll,Venstre,Københavns Storkreds,"site:tiktok.com ""Anders Fausbøll""",ddg,0,,ERROR: Request timed out: ConnectTimeout('timed out'),,,0,0,0,0,0,search_error
Anders Havelund Krøyer,Det Konservative Folkeparti,Københavns Storkreds,"site:tiktok.com ""@andershavelundkroyer""",ddg,1,Dansk Krigs Politik | TikTok,Лайки: 865.Видео в TikTok (тикток) от пользователя Anders Krøyer (@ andershavelundkroyer ): «Forsvaret er garanten for vores samfund.,https://www.tiktok.com/discover/dansk-krigs-politik,,0,25,8,0,33,manual_review
Anders Krojgaard Lund,Det Konservative Folkeparti,Østjyllands Storkreds,"site:tiktok.com ""@anderslund""",ddg,3,Anders Lund (@ anderslund ) | TikTok,Anders Lund (@ anderslund ) på TikTok |27 følgere.Se den seneste video fra Anders Lund (@ anderslund ).,https://www.tiktok.com/@anderslund,anderslund,53,16,8,0,77,high_confidence
Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,"site:tiktok.com ""Anders Kronborg""",ddg,2,Spændende om @Liberal Alliance og @Dansk Folkeparti... | TikTok,"62 Likes, TikTok video from Anders Kronborg (@kronborg1982): “Spændende om @Liberal Alliance og @Dansk Folkeparti drøfter skattepolitik… #dkpol #dkmedier”. original sound - Anders...",https://www.tiktok.com/@kronborg1982,kronborg1982,18,25,8,0,51,possible_match
Anders Kühnau,Socialdemokratiet,Østjyllands Storkreds,"site:tiktok.com ""Anders Kühnau""",ddg,2,Stem på Anders Kühnau til regionsrådsvalget 2023 | TikTok,"Nov 10, 2025 · Keywords: stem på Anders Kühnau , regionsrådsvalg 2023, ung energisk stemme, politikkandidat Herning, hvorfor vælge Anders Kühnau , Venstre kandidater, lokalpolitik i Herning, valgkamp ",https://www.tiktok.com/@sebastianibyraadet,sebastianibyraadet,0,25,8,5,38,manual_review
Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,"site:tiktok.com ""@andershansen""",ddg,4,Anders Hansen (@ andershansen ) | TikTok,Anders Hansen (@ andershansen ) on TikTok | Watch the latest video from Anders Hansen (@ andershansen ).,https://www.tiktok.com/@andershansen,andershansen,53,16,8,0,77,high_confidence
Anders Storgaard,Det Konservative Folkeparti,Københavns Storkreds,"site:tiktok.com ""Anders Storgaard""",ddg,1,Anders ?stergaard｜Поиск в TikTok,"Лайки: 131.Видео в TikTok (тикток) от пользователя Anders Vestergaard Jul (@andersvestergaard): «Rate this outfit 0-0,5?». оригинальный звук -.",https://www.tiktok.com/discover/Anders-?stergaard?lang=ru-RU,,0,12,8,0,20,manual_review
Anders Sørensen,Alternativet,Københavns Storkreds,"site:tiktok.com ""Anders Sørensen""",ddg,1,"~Anders Sørensen~ #orangelights #scania # ... - TikTok ~Anders sørensen~ @Magnus Bjerregaard #truckspotting #scania ... ~Anders Sørensen~ @Magnus Bjerregaard #truckspotting #scania ... Nogen af de bedste tider har været nede ved ~Anders Sørensen ... Videos ""Crossing Zero"" with Anders Sørensen , PhD: Holds, Microtapers, Updosing ... Anders Sørensen - Driver @Magnus Bjerregaard #scania #fyp # ... ~Anders Sørensen~ driver? #gejl #scania | TikTok @Poul m Anders Sørensen #pohha # ... - TikTok","72 Likes, TikTok video from 🤔NJ TruckSpotter :D (@haverslev_truckspotter): “~ Anders Sørensen ~ #orangelights🥰😍 #scania #truckspotting #gejl #fedt”. original sound - sp33dsongsx. 42 Likes, TikTok vide",https://www.tiktok.com/@haverslev_truckspotter,haverslev_truckspotter,0,25,8,0,33,manual_review
Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,"site:tiktok.com ""@andersvistisen""",ddg,1,Anders Vistisen (@ andersvistisen ) | TikTok,Anders Vistisen (@ andersvistisen ) på TikTok |55.7K likes.2073 følgere.Chief Whip for Patriots for Europe.Se den seneste video fra Anders Vistisen (@ andersvistisen ).,https://www.tiktok.com/@andersvistisen,andersvistisen,55,25,0,0,80,high_confidence
Andreas Fjord Larsen,Venstre,Fyns Storkreds,"site:tiktok.com ""@andreaslarsen""",ddg,4,Andreas Larsen (@ andreaslarsen 96) | TikTok,Andreas Larsen (@ andreaslarsen 96) on TikTok | 1.6M Likes. 29.3K Followers. CPH.Watch the latest video from Andreas Larsen (@ andreaslarsen 96).,https://www.tiktok.com/@andreaslarsen96,andreaslarsen96,34,16,8,0,58,possible_match
Andreas Lausen,Moderaterne,Fyns Storkreds,"site:tiktok.com ""Andreas Lausen""",ddg,1,Haji salaax (@hajisalaax)’s ... - TikTok,TikTok video from Haji salaax 🪓🐺🇩🇰 (@hajisalaax): “”. I dag fik vi besøg af Andreas Lausen fra MODERATERNE på tietgen handelsgymnasiumoriginal lyd - Haji salaax 🪓🐺🇩🇰.,https://www.tiktok.com/@hajisalaax,hajisalaax,0,25,15,0,40,manual_review
Andreas Raben,Moderaterne,Nordsjællands Storkreds,"site:tiktok.com ""@andreasraben""",ddg,2,Vognen over alle vogne #dkpol #moderaterne #kv25... | TikTok,"andreasraben . Skolefraværspakker er noget jeg fandt på for over et år siden. Er så stolt af at @rasmuslundnielsen_ tager det videre - og over at alle de andre i Debatten er enige i, at...",https://www.tiktok.com/@andreasraben,andreasraben,55,25,15,0,95,high_confidence
Ane Halsboe-Jørgensen,Socialdemokratiet,Nordjyllands Storkreds,"site:tiktok.com ""Ane Halsboe-Jørgensen""",ddg,2,Træt af spilreklamer i fodboldkampe? | TikTok,"Ane Halsboe - Jørgensen . Reklame for pengespil fylder efterhånden alle steder. Også på børns og unges telefoner, når du ser fx YouTube eller Twitch.",https://www.tiktok.com/@ane.halsboejrgense,ane.halsboejrgense,0,25,8,0,33,manual_review
Ane Line Søndergaard,Alternativet,Sydjyllands Storkreds,"site:tiktok.com ""Ane Line Søndergaard""",ddg,2,Anne Søndergaard (@annesmadsen) | TikTok,"Anne Søndergaard (@annesmadsen) på TikTok |12.4K likes.1160 følgere. 🦦🐚 Fashion, decor & life 📸 @annesmadsen.Se populære videoer fra Anne Søndergaard: ""Shox & trackpants ..."", ""#ønskeliste #ønskese...",https://www.tiktok.com/@annesmadsen,annesmadsen,0,8,8,0,16,manual_review
Anette Jensen Smith,Alternativet,Nordjyllands Storkreds,"site:tiktok.com ""Anette Jensen Smith""",ddg,2,absolute perfection. #heatedrivalry #fyp | reality show | TikTok,"101 Likes, TikTok video from jensen (@jensensmith_): “absolute perfection. #heatedrivalry #fyp”. reality show. this show has been consuming my mind for the last 12 hoursoriginal sound - antiromantic .",https://www.tiktok.com/@jensensmith_,jensensmith_,18,16,0,0,34,manual_review
Anita Vivi Lilholt,Venstre,Nordjyllands Storkreds,"site:tiktok.com ""Anita Vivi Lilholt""",ddg,2,#folktingsvalg Hashtag Videos on TikTok,1156 views anitavivililholt STEM PÅ ANITA VIVI LILHOLT #VENSTRE#STEM#FYP#following#tiktok#folketingsvalg2022#FOLKTINGSVALG#fypシ#NORDJYLLAND#stemvenstre#valgkamp,https://www.tiktok.com/tag/folktingsvalg,,0,25,15,5,45,possible_match
Anja Busch,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,"site:tiktok.com ""Anja Busch""",ddg,1,Berlin Treptow 2024 Winterfest | TikTok,...austria #Berlin #wintertraum #berlin #wintertraumberlin #followmy #viral #2024 #showman #85mete #catchchobanioatmilk #treptowerpark #views @Freefallrene @ Anja Busch @Fabi.hfb...,https://www.tiktok.com/discover/berlin-treptow-2024-winterfest,,0,25,8,0,33,manual_review
Anja Lund,Venstre,Fyns Storkreds,"site:tiktok.com ""Anja Lund""",ddg,1,"Lund is well worth a visit even on gloomy days, here are some... | TikTok",Lund Og Anja . Lund Sweden Winter.,https://www.tiktok.com/@visitlund,visitlund,18,25,8,0,51,possible_match
Anja Rosengreen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,"site:tiktok.com ""Anja Rosengreen""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Anja+Rosengreen%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anna Bjerre,Alternativet,Nordjyllands Storkreds,"site:tiktok.com ""Anna Bjerre""",ddg,1,Ingame yan sha - TikTok,"Sep 6, 2024 · Maar welke stemacteurs deden de andere rollen? #tiktok #fyp #foryoupage #dubbing #voiceactor #henrydanger #henrydangereditsad |Månedens læseoplevelse for unge i September er ‘PIGETANKER’",https://www.tiktok.com/@maealexxxxxx,maealexxxxxx,0,25,8,0,33,manual_review
Anna Brændemose,SF - Socialistisk Folkeparti,Østjyllands Storkreds,"site:tiktok.com ""@annabraendemose""",ddg,0,,ERROR: Request timed out: ConnectTimeout('timed out'),,,0,0,0,0,0,search_error
Anna Calero,Alternativet,Østjyllands Storkreds,"site:tiktok.com ""Anna Calero""",ddg,2,El Paso de Mickey: Baile Trend y Recuerdos | TikTok,Anna Calero muestra el verdadero paso de Mickey que ha encantado a muchos. #fyp.,https://www.tiktok.com/@ivannaacalero,ivannaacalero,18,25,8,0,51,possible_match
Anna Katrine Leth Rehn,SF - Socialistisk Folkeparti,Fyns Storkreds,"site:tiktok.com ""@annakatrinelethrehn""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40annakatrinelethrehn%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anna Poulsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,"site:tiktok.com ""@annapoulsen""",ddg,2,Anna Poulsen (@ annapoulsen ) | TikTok,"Anna Poulsen (@ annapoulsen ) on TikTok | ""live with passion, live musical.ly""Watch the latest video from Anna Poulsen (@ annapoulsen ).",https://www.tiktok.com/@annapoulsen,annapoulsen,55,25,0,0,80,high_confidence
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Sydjyllands Storkreds,"site:tiktok.com ""@annenielsen""",ddg,3,user7079009221078 (@ annenielsen ) | TikTok,user7079009221078 (@ annenielsen ) på TikTok |Titta på den senaste videon från user7079009221078 (@ annenielsen ).,https://www.tiktok.com/@annenielsen,annenielsen,53,12,8,0,73,possible_match
Anne Fiber,Det Konservative Folkeparti,Fyns Storkreds,"site:tiktok.com ""Anne Fiber""",ddg,1,земля4 |Смотрите новые видео в TikTok (тикток) на тему #земля4.,Shopping Event Explained|Ordu: Batman Burada 72 ile Gezilecek Yerler|photo:7548188428618206478|kak. anne : Fiber penting untuk kesihatan#kakkN...,https://www.tiktok.com/tag/земля4,,0,25,8,0,33,manual_review
Anne Honoré Østergaard,Venstre,Nordjyllands Storkreds,"site:tiktok.com ""@annehonorostergaard""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40annehonorostergaard%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anne Marie Geisler Andersen,Radikale Venstre,Sydjyllands Storkreds,"site:tiktok.com ""@anneandersen""",ddg,4,Anne Andersen (@ anneandersen 10) TikTok | Watch Anne...,anneandersen 10. Anne Andersen. Follow.,https://www.tiktok.com/@anneandersen10,anneandersen10,34,12,0,0,46,possible_match
Anne Møllegaard Mortensen,Dansk Folkeparti,Fyns Storkreds,"site:tiktok.com ""@annemollegaardmortensen""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40annemollegaardmortensen%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anne Paulin,Socialdemokratiet,Vestjyllands Storkreds,"site:tiktok.com ""Anne Paulin""",ddg,2,Kan Socialdemokratiet styre vejret?Klimaordfører fra... | TikTok,"TikTok video from Foreningen Atomkraft Ja Tak (@atomkraftjatak): ""Kan Socialdemokratiet styre vejret?Klimaordfører fra Socialdemokratiet Anne Paulin påstod i en debat i 24syv, at det...",https://www.tiktok.com/@atomkraftjatak,atomkraftjatak,0,25,15,0,40,manual_review
Anne Sophie Callesen,Radikale Venstre,Østjyllands Storkreds,"site:tiktok.com ""Anne Sophie Callesen""",ddg,2,ANNE SOPHIE CALLESEN - RV (@annesophierv) | TikTok,... SOPHIE CALLESEN - RV (@annesophierv) på TikTok |12.8K likes.331 følgere.Folketingskandidat i Sjællands Storkreds for Radikale Venstre .Se den seneste video fra ANNE ...,https://www.tiktok.com/@annesophierv,annesophierv,0,25,15,5,45,possible_match
Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,Sjællands Storkreds,"site:tiktok.com ""@annevalentinaberthelsen""",ddg,1,Det var 2022｜TikTok-sökning,"...sfpolitik): ""Altså som i: det var i 2022 #fyp #foruyoupage #metoo #mansplaining #ligestilling #copenhagenpride @ annevalentinaberthelsen "".Cc: throwback til dengang, der var en...",https://www.tiktok.com/discover/Det-var-2022,,0,25,15,0,40,manual_review
Anne-Marie Hemmeth,Alternativet,Nordjyllands Storkreds,"site:tiktok.com ""Anne-Marie Hemmeth""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Anne-Marie+Hemmeth%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anne-Sofie Sadolin,Radikale Venstre,Københavns Storkreds,"site:tiktok.com ""Anne-Sofie Sadolin""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Anne-Sofie+Sadolin%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Annette Rieva,Venstre,Nordsjællands Storkreds,"site:tiktok.com ""Annette Rieva""",ddg,2,Annette Rivera-Rees (@annetteriverarees) | TikTok,"Annette Rivera-Rees (@annetteriverarees) on TikTok | 1126 Likes. 294 Followers. Check out my Instagram for custom tumblers, shirts and more.Watch the latest video from Annette Rivera-Rees (@annetteriv",https://www.tiktok.com/@annetteriverarees,annetteriverarees,0,12,8,0,20,manual_review
Annette Sofia Skotte,Liberal Alliance,Vestjyllands Storkreds,"site:tiktok.com ""@annettesofiaskotte""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40annettesofiaskotte%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Anni Matthiesen,Venstre,Sydjyllands Storkreds,"site:tiktok.com ""@annimatthiesen""",ddg,0,,ERROR: Request timed out: ConnectTimeout('timed out'),,,0,0,0,0,0,search_error
Annie Hagel,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,"site:tiktok.com ""Annie Hagel""",ddg,2,Enhedslisten Midtjylland (@enhedslisten.midt) | TikTok,"Annie Hagel , medlem af Hovedstadens Regionsråd og Danske Regioners Sundhedsudvalg @Enhedslisten #enhedslisten #velfærd #vælgvelfærd #velfærdssamfund #sundhed...",https://www.tiktok.com/@enhedslisten.midt,enhedslisten.midt,0,25,15,0,40,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,A R A Z 02 (@ arazkhan 002) | TikTok,TikTok'ta A R A Z 02 (@ arazkhan 002) |134.5K Beğeni.2795 Takipçi.A İ A A G H D A M .A R A Z 02 (@ arazkhan 002) adlı kullanıcıdan en yeni videoyu izleyin.,https://www.tiktok.com/@arazkhan002,arazkhan002,35,25,8,0,68,possible_match
Arne Hyldgaard,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,"site:tiktok.com ""Arne Hyldgaard""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Arne+Hyldgaard%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Asbjørn Reissmann,Socialdemokratiet,Københavns Storkreds,"site:tiktok.com ""Asbjørn Reissmann""",ddg,1,TikTok,TikTok,https://www.tiktok.com/api/img/?itemId=7499326472629390612&location=0&aid=1988,,0,0,8,0,8,manual_review
Asta Kofod,Enhedslisten - De Rød-Grønne,Bornholms Storkreds,"site:tiktok.com ""Asta Kofod""",ddg,1,Rød Ungdom Kommunistwr | TikTok,"126 Likes, TikTok video from Asta Kofod (@ asta . kofod ): “Husk den gode tone - det er federe for alle #dkpol #rødgrønungdom #enhedslisten #freepalastine #eu”.",https://www.tiktok.com/discover/rød-ungdom-kommunistwr,,0,25,15,0,40,manual_review
Astrid Carøe,SF - Socialistisk Folkeparti,Sjællands Storkreds,"site:tiktok.com ""@astridcaroe""",ddg,1,Astrid_privato | TikTok,astridcaroe . Astrid Carøe-privat.3. Condivisioni. astridcaroe . 221.,https://www.tiktok.com/discover/astrid_privato,,0,25,0,0,25,manual_review
Astrid Fogh,Alternativet,Sydjyllands Storkreds,"site:tiktok.com ""@astridfogh""",ddg,2,Astrid (@ astridfogh ) | TikTok,Astrid(@ astridfogh ) on TikTok | 3.3K Likes. 488 Followers. Watch the latest video from Astrid(@ astridfogh ).,https://www.tiktok.com/@astridfogh,astridfogh,55,25,0,0,80,high_confidence
Astrid Søborg,Venstre,Københavns Omegns Storkreds,"site:tiktok.com ""Astrid Søborg""",ddg,1,#astridsøborg - TikTok,loneyalcinkaya #FV22# AstridSøborg #Astrid#gladsaxe#lyngby#venstre#godtvalg 💙💙 Astrid Søborg - folkekitingskandidat 💙💙 Get app,https://www.tiktok.com/tag/astridsøborg,,0,25,15,5,45,possible_match
Ayhan Kilic,Moderaterne,Nordsjællands Storkreds,"site:tiktok.com ""@ayhankilic""",ddg,1,Ayhan Kilic (@ ayhankilic ) | TikTok,Ayhan Kilic (@ ayhankilic ) op TikTok |396 likes.82 volgers.Kijk de nieuwste video van Ayhan Kilic (@ ayhankilic ).,https://www.tiktok.com/@ayhankilic,ayhankilic,55,25,8,0,88,high_confidence
Barbara Engelstoft,Det Konservative Folkeparti,Sjællands Storkreds,"site:tiktok.com ""@barbaraengelstoft""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40barbaraengelstoft%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Barbara Krarup Hansen,Radikale Venstre,Sydjyllands Storkreds,"site:tiktok.com ""@barbarahansen""",ddg,4,Barbara Hansen (@ barbarahansen 1) | TikTok,Barbara Hansen (@ barbarahansen 1) on TikTok | Watch the latest video from Barbara Hansen (@ barbarahansen 1).,https://www.tiktok.com/@barbarahansen1,barbarahansen1,34,16,8,0,58,possible_match
Benjamin Christensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,"site:tiktok.com ""@benjamin.christensen""",ddg,3,Benjamin Christensen (@benjamin_christensen) | TikTok,Benjamin Christensen (@benjamin_christensen) på TikTok |Se den seneste video fra Benjamin Christensen (@benjamin_christensen).,https://www.tiktok.com/@benjamin_christensen,benjamin_christensen,55,25,0,0,80,high_confidence
