candidate_name,party_name,storkreds,kommune,candidate_votes_2026_municipality,party_votes_2026_municipality,vote_share_of_party_2026_municipality,candidate_votes_2026_total,party_votes_2026_total,vote_share_of_party_2026_total,age,education,birthdate,age_num,tiktok_exists,tiktok_handle_from_url,videos_total_pre_election,videos_total_2026_pre_election,videos_last_90d,videos_last_30d,videos_last_14d,videos_last_7d,log1p_videos_total_pre_election,log1p_videos_total_2026_pre_election,log1p_videos_last_90d,log1p_videos_last_30d,log1p_videos_last_14d,log1p_videos_last_7d,candidate_votes_2022_municipality,party_votes_2022_municipality,vote_share_of_party_2022_municipality,candidate_votes_2022_total,party_votes_2022_total,vote_share_of_party_2022_total,municipality_code,andel_18_66_årige,andel_18plus_årige,andel_25_64_årige,andel_almennyttige_boliger,andel_ejerboliger,befolkningsandel_i_bymæssig_bebyggelse,befolkningstæthed_indb_km2,indbyggertal_1_januar,socioøkonomisk_indeks,statsgar_udskrivningsgrundlag_pr_indb_fra_2007
Alex Ahrendtsen,Dansk Folkeparti,fyn,Faaborg-Midtfyn Kommune,324,3321,0.0975609756097561,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,962.0,0.14137214137214138,1477.0,93428.0,0.01580896519244766,430,57.7,80.7,48.7,10.0,59.2,73.0,83.0,52284.0,1.0,193010.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Kerteminde Kommune,168,1490,0.11275167785234899,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,435.0,0.20689655172413793,1477.0,93428.0,0.01580896519244766,440,57.4,81.7,48.9,12.5,58.8,82.0,116.0,23949.0,1.0,210118.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Langeland Kommune,86,726,0.1184573002754821,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,285.0,0.19298245614035087,1477.0,93428.0,0.01580896519244766,482,52.7,87.4,44.2,7.7,45.3,60.6,41.0,11973.0,1.3,193597.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Middelfart Kommune,240,2176,0.11029411764705882,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,701.0,0.18687589158345222,1477.0,93428.0,0.01580896519244766,410,58.4,80.7,49.6,12.0,56.3,82.4,135.0,40318.0,0.86,220595.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Nordfyns Kommune,222,1897,0.11702688455455983,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,623.0,0.16693418940609953,1477.0,93428.0,0.01580896519244766,480,59.0,81.5,49.9,7.9,61.4,63.2,65.0,29342.0,1.07,200284.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Nyborg Kommune,228,2083,0.10945751320211233,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,598.0,0.15384615384615385,1477.0,93428.0,0.01580896519244766,450,58.1,81.7,48.4,16.1,51.2,81.5,117.0,32329.0,1.14,199693.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Odense Kommune,1386,9777,0.14176127646517336,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,2570.0,0.26264591439688717,1477.0,93428.0,0.01580896519244766,461,65.9,82.0,51.9,22.3,39.5,97.3,690.0,210803.0,1.11,192361.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Svendborg Kommune,319,2874,0.11099512874043145,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,936.0,0.11004273504273504,1477.0,93428.0,0.01580896519244766,479,57.6,80.7,47.6,15.8,52.7,82.6,144.0,60001.0,1.03,193173.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Ærø Kommune,36,273,0.13186813186813187,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,103.0,0.14563106796116504,1477.0,93428.0,0.01580896519244766,492,51.8,86.3,43.4,7.8,47.1,65.8,65.0,5881.0,1.0,184022.0
Alex Vanopslagh,Liberal Alliance,østjylland,Aarhus Kommune,17909,23881,0.7499267199866002,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,19277.0,23850.0,0.8082599580712788,38284.0,278656.0,0.13738803399173175,751,69.0,82.5,52.8,25.0,35.1,97.4,797.0,373388.0,0.95,207907.0
Alex Vanopslagh,Liberal Alliance,østjylland,Favrskov Kommune,2126,3038,0.6998025016458196,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,1931.0,2461.0,0.7846403900853312,38284.0,278656.0,0.13738803399173175,710,58.7,76.7,50.2,9.4,69.3,81.5,91.0,49359.0,0.69,213101.0
Alex Vanopslagh,Liberal Alliance,østjylland,Hedensted Kommune,2407,3424,0.7029789719626168,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,2222.0,2810.0,0.7907473309608541,38284.0,278656.0,0.13738803399173175,766,60.3,79.6,51.0,9.2,63.1,74.2,87.0,48167.0,0.81,207808.0
Alex Vanopslagh,Liberal Alliance,østjylland,Horsens Kommune,4619,6482,0.7125887071891391,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,4249.0,5438.0,0.7813534387642516,38284.0,278656.0,0.13738803399173175,615,62.1,79.2,51.6,15.2,49.2,90.8,188.0,97921.0,0.98,199712.0
Alex Vanopslagh,Liberal Alliance,østjylland,Norddjurs Kommune,1027,2968,0.34602425876010784,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,952.0,2225.0,0.4278651685393258,38284.0,278656.0,0.13738803399173175,707,58.4,83.0,48.2,12.2,53.3,74.8,51.0,36658.0,1.14,200175.0
Alex Vanopslagh,Liberal Alliance,østjylland,Odder Kommune,994,1339,0.7423450336071695,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,904.0,1115.0,0.810762331838565,38284.0,278656.0,0.13738803399173175,727,57.2,79.9,47.9,17.5,59.0,77.9,108.0,24083.0,0.84,205503.0
Alex Vanopslagh,Liberal Alliance,østjylland,Randers Kommune,4702,6816,0.6898474178403756,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,3925.0,5289.0,0.742106258271885,38284.0,278656.0,0.13738803399173175,730,61.4,80.6,51.3,15.6,48.5,88.1,134.0,100356.0,1.14,197454.0
Alex Vanopslagh,Liberal Alliance,østjylland,Samsø Kommune,101,133,0.7593984962406015,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,96.0,132.0,0.7272727272727273,38284.0,278656.0,0.13738803399173175,741,52.0,85.7,44.3,3.4,42.3,35.6,32.0,3656.0,1.02,207629.0
Alex Vanopslagh,Liberal Alliance,østjylland,Skanderborg Kommune,3034,4429,0.6850304809212012,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,3158.0,3978.0,0.7938662644544997,38284.0,278656.0,0.13738803399173175,746,57.8,75.2,49.2,11.5,66.8,86.1,158.0,65760.0,0.63,223618.0
Alex Vanopslagh,Liberal Alliance,østjylland,Syddjurs Kommune,1568,2501,0.6269492203118753,38487,334421,0.11508547609151339,34 år,Kandidat-/masteruddannelse,1991-10-17T00:00:00,34.0,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,1570.0,2178.0,0.7208448117539027,38284.0,278656.0,0.13738803399173175,706,56.3,80.6,47.5,9.7,62.1,72.7,64.0,44101.0,0.83,203015.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Albertslund Kommune,11,2253,0.004882379050155349,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1890.0,0.007936507936507936,158.0,293186.0,0.0005389070419460684,165,62.3,79.4,50.4,47.4,31.9,99.6,1202.0,28117.0,1.54,187518.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Ballerup Kommune,23,3765,0.006108897742363878,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2717.0,0.004784688995215311,158.0,293186.0,0.0005389070419460684,151,61.8,79.3,51.4,49.4,33.5,99.6,1562.0,52939.0,1.26,207227.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Brøndby Kommune,70,2007,0.03487792725460887,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1518.0,0.026350461133069828,158.0,293186.0,0.0005389070419460684,153,64.0,79.6,52.8,54.4,26.2,99.9,1924.0,40401.0,1.61,170212.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Gentofte Kommune,11,3053,0.0036030134294136916,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2747.0,0.0032763014197306154,158.0,293186.0,0.0005389070419460684,157,59.0,78.7,49.1,4.1,64.3,100.0,2933.0,75076.0,0.64,417187.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Gladsaxe Kommune,22,5567,0.003951859170109574,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4372.0,0.004803293687099725,158.0,293186.0,0.0005389070419460684,159,63.1,78.2,52.5,34.0,42.9,100.0,2850.0,70958.0,1.06,230158.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Glostrup Kommune,8,1467,0.0054533060668029995,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1046.0,0.0028680688336520078,158.0,293186.0,0.0005389070419460684,161,64.7,80.5,53.8,35.2,40.8,99.9,1870.0,24869.0,1.2,209772.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Herlev Kommune,7,2131,0.00328484279680901,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1486.0,0.0013458950201884253,158.0,293186.0,0.0005389070419460684,163,62.1,78.8,51.5,52.9,31.9,99.9,2544.0,30784.0,1.22,203687.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Hvidovre Kommune,24,4295,0.0055878928987194414,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3281.0,0.005790917403230723,158.0,293186.0,0.0005389070419460684,167,62.0,78.0,51.7,38.2,47.7,100.0,2348.0,53760.0,1.18,210041.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Høje-Taastrup Kommune,30,3042,0.009861932938856016,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2202.0,0.005449591280653951,158.0,293186.0,0.0005389070419460684,169,64.7,79.2,54.2,20.8,51.5,97.2,755.0,59059.0,1.19,184513.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Ishøj Kommune,18,985,0.018274111675126905,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,783.0,0.0038314176245210726,158.0,293186.0,0.0005389070419460684,183,64.4,78.7,53.2,46.0,38.9,97.8,919.0,24365.0,1.63,179124.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Lyngby-Taarbæk Kommune,10,4105,0.00243605359317905,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3641.0,0.0021971985718209283,158.0,293186.0,0.0005389070419460684,173,62.0,79.8,49.6,19.8,50.5,99.7,1513.0,58713.0,0.71,304578.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Rødovre Kommune,18,3174,0.005671077504725898,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2365.0,0.0054968287526427064,158.0,293186.0,0.0005389070419460684,175,63.2,78.9,53.2,39.4,37.6,100.0,3667.0,44734.0,1.19,200680.0
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,Vallensbæk Kommune,11,832,0.013221153846153846,263,413306,0.0006363324026266253,45 år,Gymnasial uddannelse,,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,0.0,158.0,293186.0,0.0005389070419460684,187,60.4,76.6,50.6,7.1,62.3,99.5,1929.0,18322.0,0.83,201904.0
Alexander Ryle,Liberal Alliance,københavn,Dragør Kommune,25,898,0.02783964365256125,1984,334421,0.005932641789839753,35 år,Kandidat-/masteruddannelse,1990-10-17T00:00:00,35.0,1.0,alexanderryle,33.0,19.0,19.0,19.0,19.0,12.0,3.5263605246161616,2.995732273553991,2.995732273553991,2.995732273553991,2.995732273553991,2.5649493574615367,24.0,959.0,0.02502606882168926,1948.0,278656.0,0.006990698208543868,155,53.8,77.4,46.1,15.0,74.3,97.6,790.0,14450.0,0.61,285916.0
Alexander Ryle,Liberal Alliance,københavn,Frederiksberg Kommune,235,5671,0.04143889966496209,1984,334421,0.005932641789839753,35 år,Kandidat-/masteruddannelse,1990-10-17T00:00:00,35.0,1.0,alexanderryle,33.0,19.0,19.0,19.0,19.0,12.0,3.5263605246161616,2.995732273553991,2.995732273553991,2.995732273553991,2.995732273553991,2.5649493574615367,241.0,6023.0,0.040013282417399966,1948.0,278656.0,0.006990698208543868,147,67.8,83.6,55.6,10.2,47.5,100.0,12166.0,105840.0,0.74,275696.0
Alexander Ryle,Liberal Alliance,københavn,Københavns Kommune,1644,28919,0.056848438742695115,1984,334421,0.005932641789839753,35 år,Kandidat-/masteruddannelse,1990-10-17T00:00:00,35.0,1.0,alexanderryle,33.0,19.0,19.0,19.0,19.0,12.0,3.5263605246161616,2.995732273553991,2.995732273553991,2.995732273553991,2.995732273553991,2.5649493574615367,1606.0,29623.0,0.05421463052357965,1948.0,278656.0,0.006990698208543868,101,74.0,83.4,61.2,18.0,46.3,100.0,7339.0,667099.0,1.03,228934.0
Alexander Ryle,Liberal Alliance,københavn,Tårnby Kommune,80,2003,0.0399400898652022,1984,334421,0.005932641789839753,35 år,Kandidat-/masteruddannelse,1990-10-17T00:00:00,35.0,1.0,alexanderryle,33.0,19.0,19.0,19.0,19.0,12.0,3.5263605246161616,2.995732273553991,2.995732273553991,2.995732273553991,2.995732273553991,2.5649493574615367,77.0,1599.0,0.04815509693558474,1948.0,278656.0,0.006990698208543868,185,60.8,77.8,51.3,35.5,51.8,99.3,666.0,44034.0,1.05,215551.0
Ali Qais,Moderaterne,københavn,Dragør Kommune,12,1230,0.00975609756097561,1024,274775,0.0037266854699299426,48 år,Kandidat-/masteruddannelse,,48.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,155,53.8,77.4,46.1,15.0,74.3,97.6,790.0,14450.0,0.61,285916.0
Ali Qais,Moderaterne,københavn,Frederiksberg Kommune,80,6221,0.012859668863526763,1024,274775,0.0037266854699299426,48 år,Kandidat-/masteruddannelse,,48.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,147,67.8,83.6,55.6,10.2,47.5,100.0,12166.0,105840.0,0.74,275696.0
Ali Qais,Moderaterne,københavn,Københavns Kommune,650,28701,0.022647294519354728,1024,274775,0.0037266854699299426,48 år,Kandidat-/masteruddannelse,,48.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,101,74.0,83.4,61.2,18.0,46.3,100.0,7339.0,667099.0,1.03,228934.0
Ali Qais,Moderaterne,københavn,Tårnby Kommune,282,2131,0.1323322383857344,1024,274775,0.0037266854699299426,48 år,Kandidat-/masteruddannelse,,48.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,185,60.8,77.8,51.3,35.5,51.8,99.3,666.0,44034.0,1.05,215551.0
Ali Yahya,SF - Socialistisk Folkeparti,sjælland,Faxe Kommune,43,2612,0.016462480857580397,1102,413306,0.0026663053524507265,29 år,Kandidat-/masteruddannelse,,29.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,320,60.8,82.1,51.3,11.7,59.1,77.0,93.0,37820.0,1.02,202064.0
Ali Yahya,SF - Socialistisk Folkeparti,sjælland,Greve Kommune,48,3096,0.015503875968992248,1102,413306,0.0026663053524507265,29 år,Kandidat-/masteruddannelse,,29.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,253,59.5,78.5,50.1,25.7,59.3,98.5,886.0,53536.0,0.9,219916.0
Ali Yahya,SF - Socialistisk Folkeparti,sjælland,Guldborgsund Kommune,34,4319,0.007872192637184533,1102,413306,0.0026663053524507265,29 år,Kandidat-/masteruddannelse,,29.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,376,58.0,83.6,48.5,13.8,52.2,73.0,66.0,59350.0,1.33,202027.0
Ali Yahya,SF - Socialistisk Folkeparti,sjælland,Holbæk Kommune,64,6274,0.010200828817341408,1102,413306,0.0026663053524507265,29 år,Kandidat-/masteruddannelse,,29.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,316,60.2,80.5,50.2,19.8,54.7,82.6,129.0,74490.0,1.06,209979.0
Ali Yahya,SF - Socialistisk Folkeparti,sjælland,Kalundborg Kommune,25,3282,0.007617306520414382,1102,413306,0.0026663053524507265,29 år,Kandidat-/masteruddannelse,,29.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,326,59.4,82.9,49.7,15.6,55.4,72.8,84.0,48103.0,1.25,211091.0
