candidate_name,party_name,storkreds,age,age_num,education,birthdate,tiktok_exists,tiktok_handle_from_url,videos_total_pre_election,videos_total_2026_pre_election,videos_last_90d,videos_last_30d,videos_last_14d,videos_last_7d,log1p_videos_total_pre_election,log1p_videos_total_2026_pre_election,log1p_videos_last_90d,log1p_videos_last_30d,log1p_videos_last_14d,log1p_videos_last_7d,candidate_votes_2026_total,party_votes_2026_total,vote_share_of_party_2026_total,candidate_votes_2022_total,party_votes_2022_total,vote_share_of_party_2022_total
Anja Rosengreen,SF - Socialistisk Folkeparti,nordsjælland,57 år,57.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287,413306,0.0031139155976443603,,,
Anna Bjerre,Alternativet,nordjylland,27 år,27.0,Kandidat-/masteruddannelse,1998-06-10T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194,91770,0.013010787839163125,,,
Anna Brændemose,SF - Socialistisk Folkeparti,østjylland,32 år,32.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,413306,0.004870483370674512,1924.0,293186.0,0.006562387017115414
Anna Calero,Alternativet,østjylland,26 år,26.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,91770,0.0014383785550833605,,,
Anna Katrine Leth Rehn,SF - Socialistisk Folkeparti,fyn,26 år,26.0,Seminaruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606,413306,0.001466225992364011,,,
Anna Poulsen,SF - Socialistisk Folkeparti,nordsjælland,48 år,48.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776,413306,0.0018775435149743773,,,
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,sydjylland,40 år,40.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789,779252,0.0022957913486266316,,,
Anne Fiber,Det Konservative Folkeparti,fyn,44 år,44.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,270749,0.0017359251557715818,683.0,194820.0,0.003505800225849502
Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",nordjylland,,46.0,Unknown,,,,,,,,,,,,,,,,1805,361689,0.004990475242542626,3833.0,470546.0,0.00814585609058413
Anne Marie Geisler Andersen,Radikale Venstre,sydjylland,44 år,44.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349,207442,0.006503022531599194,1324.0,133931.0,0.009885687406201701
Anne Møllegaard Mortensen,Dansk Folkeparti,fyn,63 år,63.0,Gymnasial uddannelse,1962-12-16T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149,324518,0.003540635650410763,,,
Anne Paulin,Socialdemokratiet,vestjylland,38 år,38.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6742,779252,0.008651886681073645,6905.0,971995.0,0.007103946007952716
Anne Sophie Callesen,Radikale Venstre,østjylland,37 år,37.0,Kandidat-/masteruddannelse,,1.0,annesophierv,15.0,15.0,15.0,15.0,12.0,4.0,2.772588722239781,2.772588722239781,2.772588722239781,2.772588722239781,2.5649493574615367,1.6094379124341003,4101,207442,0.019769381321043954,,,
Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,sjælland,31 år,31.0,Bachelor-/diplomuddannelse,1994-09-16T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782,413306,0.0043115754428921915,1383.0,293186.0,0.004717142019059573
Anne-Marie Hemmeth,Alternativet,nordjylland,64 år,64.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,91770,0.0012640296393156805,,,
Anne-Sofie Sadolin,Radikale Venstre,københavn,36 år,36.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385,207442,0.006676565015763442,,,
Annette Rieva,"Venstre, Danmarks Liberale Parti",nordsjælland,,46.0,Unknown,,,,,,,,,,,,,,,,595,361689,0.0016450597059905056,,,
Annette Sofia Skotte,Liberal Alliance,vestjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,334421,0.00026613161254825503,,,
Anni Matthiesen,"Venstre, Danmarks Liberale Parti",sydjylland,,46.0,Unknown,,,,,,,,,,,,,,,,6339,361689,0.017526106682813136,9540.0,470546.0,0.020274319620185912
Annie Hagel,Enhedslisten - De Rød-Grønne,nordsjælland,76 år,76.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,226037,0.0011060136172396555,577.0,181452.0,0.003179904327315213
Araz Khan,Liberal Alliance,fyn,44 år,44.0,Seminaruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978,334421,0.0029244574951931847,,,
Arne Hyldgaard,Borgernes Parti - Lars Boje Mathiesen,nordjylland,55 år,55.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,75928,0.0031082077757875882,,,
Asbjørn Reissmann,Socialdemokratiet,københavn,34 år,34.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494,779252,0.0006339412667532454,,,
Asta Kofod,Enhedslisten - De Rød-Grønne,bornholm,19 år,19.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,226037,0.0006503360069369175,,,
Astrid Carøe,SF - Socialistisk Folkeparti,sjælland,31 år,31.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1895,413306,0.004584980619686141,2111.0,293186.0,0.007200207376887027
Astrid Fogh,Alternativet,sydjylland,60 år,60.0,Bachelor-/diplomuddannelse,1965-11-27T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,91770,0.0016999019287348806,,,
Astrid Søborg,"Venstre, Danmarks Liberale Parti",københavns omegn,,46.0,Unknown,,,,,,,,,,,,,,,,915,361689,0.0025297976991282565,1277.0,470546.0,0.002713868569704131
Ayhan Kilic,Moderaterne,nordsjælland,43 år,43.0,Ikke oplyst,,1.0,ayhankilic_moderaterne,27.0,27.0,27.0,27.0,14.0,7.0,3.332204510175204,3.332204510175204,3.332204510175204,3.332204510175204,2.70805020110221,2.0794415416798357,763,274775,0.0027768173960513146,,,
Barbara Engelstoft,Det Konservative Folkeparti,sjælland,49 år,49.0,Kandidat-/masteruddannelse,1976-10-14T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356,270749,0.0013148709690525174,,,
Barbara Krarup Hansen,Radikale Venstre,sydjylland,51 år,51.0,Kandidat-/masteruddannelse,,1.0,barbarakrarup,2.0,1.0,1.0,1.0,1.0,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,96,207442,0.00046277995777132885,,,
Benjamin Christensen,SF - Socialistisk Folkeparti,nordjylland,29 år,29.0,Kandidat-/masteruddannelse,1996-05-07T00:00:00,1.0,benjaminrfchristensen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991,413306,0.002397739205334546,,,
Benny Bindslev,Danmarksdemokraterne - Inger Støjberg,københavn,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,205302,0.0008962406601007297,,,
Benny Dall,Enhedslisten - De Rød-Grønne,sydjylland,70 år,70.0,Gymnasial uddannelse,1956-02-19T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,226037,0.000889234948260683,223.0,181452.0,0.0012289751559641116
Benny Damgaard,Danmarksdemokraterne - Inger Støjberg,sjælland,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468,205302,0.007150441788194952,,,
Benny Engelbrecht,Socialdemokratiet,sydjylland,55 år,55.0,Grundskole,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7275,779252,0.009335875942570567,10657.0,971995.0,0.010964048168972063
Bente Refslund,SF - Socialistisk Folkeparti,vestjylland,68 år,68.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,413306,0.0011420110039534873,527.0,293186.0,0.0017974937411745445
Berit Raldin,Enhedslisten - De Rød-Grønne,nordjylland,56 år,56.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353,226037,0.0015616912275423936,186.0,181452.0,0.001025064479862443
Betina Asbæk,Moderaterne,københavns omegn,49 år,49.0,Bachelor-/diplomuddannelse,1977-01-30T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691,274775,0.0025147848239468655,,,
Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,vestjylland,,46.0,Unknown,,1.0,betinakastbjerg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259,205302,0.011003302451997545,,,
Bia Ndamukunda,Det Konservative Folkeparti,østjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,270749,0.0003915065244931653,,,
Bianca Vitting,Enhedslisten - De Rød-Grønne,københavns omegn,46 år,46.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637,226037,0.0028181226967266423,,,
Birgit Gedionsen,Enhedslisten - De Rød-Grønne,sjælland,73 år,73.0,Kandidat-/masteruddannelse,1953-01-27T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,226037,0.00099541225551569,118.0,181452.0,0.0006503097237837004
Birgitte Bergman,Det Konservative Folkeparti,nordsjælland,59 år,59.0,Erhvervsuddannelse,1967-01-13T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3176,270749,0.011730421903682007,1533.0,194820.0,0.0078688019710502
Birgitte Vind,Socialdemokratiet,sydjylland,60 år,60.0,Bachelor-/diplomuddannelse,1965-08-13T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220,779252,0.007982013520658273,7116.0,971995.0,0.007321025313916224
Birthe Tindbæk Bredo,"Venstre, Danmarks Liberale Parti",bornholm,,46.0,Unknown,,,,,,,,,,,,,,,,24,361689,6.635534948533132e-05,25.0,470546.0,5.312976839671361e-05
Bjarke Bisgaard Yolal,SF - Socialistisk Folkeparti,københavn,37 år,37.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,413306,0.0003121174142161014,,,
Bjarke Jensen,Radikale Venstre,østjylland,42 år,42.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389,207442,0.0018752229538859056,,,
Bjarne Lastein,Radikale Venstre,sydjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,207442,0.00029887872272731656,139.0,133931.0,0.0010378478470257073
Bjørn Brandenborg,Socialdemokratiet,fyn,34 år,34.0,Bachelor-/diplomuddannelse,,1.0,bjornbrandenborg,34.0,34.0,34.0,34.0,16.0,8.0,3.5553480614894135,3.5553480614894135,3.5553480614894135,3.5553480614894135,2.833213344056216,2.1972245773362196,12098,779252,0.01552514462587199,11167.0,971995.0,0.011488742226040257
Bjørn Jensen,Det Konservative Folkeparti,østjylland,48 år,48.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,270749,0.0018799700091228406,,,
Bjørn Laursen,Socialdemokratiet,sydjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,779252,8.213004265629091e-05,254.0,971995.0,0.0002613182166574931
Bjørn Olsen,Alternativet,østjylland,54 år,54.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,91770,0.0038247793396534815,,,
Bo Nielsen,Alternativet,sydjylland,66 år,66.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,91770,0.0006647052413642803,,,
Bo Ritterbusch,Liberal Alliance,nordjylland,57 år,57.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588,334421,0.0017582627885210558,701.0,278656.0,0.002515646531924667
Bo Tønnesen,Alternativet,fyn,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,91770,0.0002288329519450801,,,
Bo Vibe Ancher Jensen,Dansk Folkeparti,bornholm,49 år,49.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545,324518,0.001679413776739657,,,
Bob Richard Nielsen,Danmarksdemokraterne - Inger Støjberg,sjælland,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299,205302,0.0014563910726636856,,,
Bodil Helbo,Alternativet,fyn,77 år,77.0,Seminaruddannelse,1948-11-19T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,91770,0.0007627765064836003,,,
Bodil Nielsen,Alternativet,sydjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,91770,0.0003486978315353601,,,
Brian Køster,Radikale Venstre,københavns omegn,48 år,48.0,Ph.d.-uddannelse,,1.0,briankoster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,207442,0.0013256717540324524,525.0,133931.0,0.003919928918622276
Brian Lyck Jørgensen,Dansk Folkeparti,nordsjælland,43 år,43.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566,324518,0.0017441251332745795,312.0,93428.0,0.0033394699661771633
Brian Mørch,Danmarksdemokraterne - Inger Støjberg,sjælland,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,205302,0.0018314483054232302,,,
Brian Perri,Moderaterne,sjælland,46 år,46.0,Erhvervsuddannelse,1980-02-05T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,274775,0.0008516058593394596,,,
Brian Prehn,Liberal Alliance,sjælland,51 år,51.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,334421,0.0001315706848553171,,,
Bruno Jerup,Enhedslisten - De Rød-Grønne,sjælland,68 år,68.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,226037,0.0007432411507850485,135.0,181452.0,0.000743998412803386
Camilla Fabricius,Socialdemokratiet,østjylland,54 år,54.0,Seminaruddannelse,1971-10-20T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876,779252,0.007540564541380709,4510.0,971995.0,0.004639941563485409
Camilla Hoffmann,Socialdemokratiet,københavn,56 år,56.0,Kandidat-/masteruddannelse,1970-02-09T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418,779252,0.0005364118410988999,,,
Camilla Schuster Nygaard,Moderaterne,fyn,42 år,42.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434,274775,0.0015794741151851515,,,
