"municipality","municipality_code","variable","year","value"
"Køge Kommune","259","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Halsnæs Kommune","260","Andel 18+-årige","2026",
"Halsnæs Kommune","260","Andel 18-66-årige","2026",
"Halsnæs Kommune","260","Andel 25-64-årige","2026",
"Halsnæs Kommune","260","Andel 25-64-årige med videregående uddannelse","2026",
"Halsnæs Kommune","260","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Halsnæs Kommune","260","Andel almennyttige boliger","2026",
"Halsnæs Kommune","260","Andel ejerboliger","2026",
"Halsnæs Kommune","260","Andel indpendlere","2026",
"Halsnæs Kommune","260","Andel udpendlere","2026",
"Halsnæs Kommune","260","Befolkningsandel i bymæssig bebyggelse","2026",
"Halsnæs Kommune","260","Befolkningstæthed (indb/km2)","2026",
"Halsnæs Kommune","260","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Halsnæs Kommune","260","Indbyggertal 1. januar","2026",
"Halsnæs Kommune","260","Socioøkonomisk indeks","2026","1.03"
"Halsnæs Kommune","260","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Roskilde Kommune","265","Andel 18+-årige","2026",
"Roskilde Kommune","265","Andel 18-66-årige","2026",
"Roskilde Kommune","265","Andel 25-64-årige","2026",
"Roskilde Kommune","265","Andel 25-64-årige med videregående uddannelse","2026",
"Roskilde Kommune","265","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Roskilde Kommune","265","Andel almennyttige boliger","2026",
"Roskilde Kommune","265","Andel ejerboliger","2026",
"Roskilde Kommune","265","Andel indpendlere","2026",
"Roskilde Kommune","265","Andel udpendlere","2026",
"Roskilde Kommune","265","Befolkningsandel i bymæssig bebyggelse","2026",
"Roskilde Kommune","265","Befolkningstæthed (indb/km2)","2026",
"Roskilde Kommune","265","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Roskilde Kommune","265","Indbyggertal 1. januar","2026",
"Roskilde Kommune","265","Socioøkonomisk indeks","2026","0.77"
"Roskilde Kommune","265","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Solrød Kommune","269","Andel 18+-årige","2026",
"Solrød Kommune","269","Andel 18-66-årige","2026",
"Solrød Kommune","269","Andel 25-64-årige","2026",
"Solrød Kommune","269","Andel 25-64-årige med videregående uddannelse","2026",
"Solrød Kommune","269","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Solrød Kommune","269","Andel almennyttige boliger","2026",
"Solrød Kommune","269","Andel ejerboliger","2026",
"Solrød Kommune","269","Andel indpendlere","2026",
"Solrød Kommune","269","Andel udpendlere","2026",
"Solrød Kommune","269","Befolkningsandel i bymæssig bebyggelse","2026",
"Solrød Kommune","269","Befolkningstæthed (indb/km2)","2026",
"Solrød Kommune","269","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Solrød Kommune","269","Indbyggertal 1. januar","2026",
"Solrød Kommune","269","Socioøkonomisk indeks","2026","0.64"
"Solrød Kommune","269","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Gribskov Kommune","270","Andel 18+-årige","2026",
"Gribskov Kommune","270","Andel 18-66-årige","2026",
"Gribskov Kommune","270","Andel 25-64-årige","2026",
"Gribskov Kommune","270","Andel 25-64-årige med videregående uddannelse","2026",
"Gribskov Kommune","270","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Gribskov Kommune","270","Andel almennyttige boliger","2026",
"Gribskov Kommune","270","Andel ejerboliger","2026",
"Gribskov Kommune","270","Andel indpendlere","2026",
"Gribskov Kommune","270","Andel udpendlere","2026",
"Gribskov Kommune","270","Befolkningsandel i bymæssig bebyggelse","2026",
"Gribskov Kommune","270","Befolkningstæthed (indb/km2)","2026",
"Gribskov Kommune","270","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Gribskov Kommune","270","Indbyggertal 1. januar","2026",
"Gribskov Kommune","270","Socioøkonomisk indeks","2026","0.9"
"Gribskov Kommune","270","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Odsherred Kommune","306","Andel 18+-årige","2026",
"Odsherred Kommune","306","Andel 18-66-årige","2026",
"Odsherred Kommune","306","Andel 25-64-årige","2026",
"Odsherred Kommune","306","Andel 25-64-årige med videregående uddannelse","2026",
"Odsherred Kommune","306","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Odsherred Kommune","306","Andel almennyttige boliger","2026",
"Odsherred Kommune","306","Andel ejerboliger","2026",
"Odsherred Kommune","306","Andel indpendlere","2026",
"Odsherred Kommune","306","Andel udpendlere","2026",
"Odsherred Kommune","306","Befolkningsandel i bymæssig bebyggelse","2026",
"Odsherred Kommune","306","Befolkningstæthed (indb/km2)","2026",
"Odsherred Kommune","306","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Odsherred Kommune","306","Indbyggertal 1. januar","2026",
"Odsherred Kommune","306","Socioøkonomisk indeks","2026","1.25"
"Odsherred Kommune","306","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Holbæk Kommune","316","Andel 18+-årige","2026",
"Holbæk Kommune","316","Andel 18-66-årige","2026",
"Holbæk Kommune","316","Andel 25-64-årige","2026",
"Holbæk Kommune","316","Andel 25-64-årige med videregående uddannelse","2026",
"Holbæk Kommune","316","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Holbæk Kommune","316","Andel almennyttige boliger","2026",
"Holbæk Kommune","316","Andel ejerboliger","2026",
"Holbæk Kommune","316","Andel indpendlere","2026",
"Holbæk Kommune","316","Andel udpendlere","2026",
"Holbæk Kommune","316","Befolkningsandel i bymæssig bebyggelse","2026",
"Holbæk Kommune","316","Befolkningstæthed (indb/km2)","2026",
"Holbæk Kommune","316","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Holbæk Kommune","316","Indbyggertal 1. januar","2026",
"Holbæk Kommune","316","Socioøkonomisk indeks","2026","1.08"
"Holbæk Kommune","316","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Faxe Kommune","320","Andel 18+-årige","2026",
"Faxe Kommune","320","Andel 18-66-årige","2026",
"Faxe Kommune","320","Andel 25-64-årige","2026",
"Faxe Kommune","320","Andel 25-64-årige med videregående uddannelse","2026",
"Faxe Kommune","320","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Faxe Kommune","320","Andel almennyttige boliger","2026",
"Faxe Kommune","320","Andel ejerboliger","2026",
"Faxe Kommune","320","Andel indpendlere","2026",
"Faxe Kommune","320","Andel udpendlere","2026",
"Faxe Kommune","320","Befolkningsandel i bymæssig bebyggelse","2026",
"Faxe Kommune","320","Befolkningstæthed (indb/km2)","2026",
"Faxe Kommune","320","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Faxe Kommune","320","Indbyggertal 1. januar","2026",
"Faxe Kommune","320","Socioøkonomisk indeks","2026","1.04"
"Faxe Kommune","320","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Kalundborg Kommune","326","Andel 18+-årige","2026",
"Kalundborg Kommune","326","Andel 18-66-årige","2026",
"Kalundborg Kommune","326","Andel 25-64-årige","2026",
"Kalundborg Kommune","326","Andel 25-64-årige med videregående uddannelse","2026",
"Kalundborg Kommune","326","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Kalundborg Kommune","326","Andel almennyttige boliger","2026",
"Kalundborg Kommune","326","Andel ejerboliger","2026",
"Kalundborg Kommune","326","Andel indpendlere","2026",
"Kalundborg Kommune","326","Andel udpendlere","2026",
"Kalundborg Kommune","326","Befolkningsandel i bymæssig bebyggelse","2026",
"Kalundborg Kommune","326","Befolkningstæthed (indb/km2)","2026",
"Kalundborg Kommune","326","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Kalundborg Kommune","326","Indbyggertal 1. januar","2026",
"Kalundborg Kommune","326","Socioøkonomisk indeks","2026","1.25"
"Kalundborg Kommune","326","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Ringsted Kommune","329","Andel 18+-årige","2026",
"Ringsted Kommune","329","Andel 18-66-årige","2026",
"Ringsted Kommune","329","Andel 25-64-årige","2026",
"Ringsted Kommune","329","Andel 25-64-årige med videregående uddannelse","2026",
"Ringsted Kommune","329","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Ringsted Kommune","329","Andel almennyttige boliger","2026",
"Ringsted Kommune","329","Andel ejerboliger","2026",
"Ringsted Kommune","329","Andel indpendlere","2026",
"Ringsted Kommune","329","Andel udpendlere","2026",
"Ringsted Kommune","329","Befolkningsandel i bymæssig bebyggelse","2026",
"Ringsted Kommune","329","Befolkningstæthed (indb/km2)","2026",
"Ringsted Kommune","329","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Ringsted Kommune","329","Indbyggertal 1. januar","2026",
"Ringsted Kommune","329","Socioøkonomisk indeks","2026","1.06"
"Ringsted Kommune","329","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Slagelse Kommune","330","Andel 18+-årige","2026",
"Slagelse Kommune","330","Andel 18-66-årige","2026",
"Slagelse Kommune","330","Andel 25-64-årige","2026",
"Slagelse Kommune","330","Andel 25-64-årige med videregående uddannelse","2026",
"Slagelse Kommune","330","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Slagelse Kommune","330","Andel almennyttige boliger","2026",
"Slagelse Kommune","330","Andel ejerboliger","2026",
"Slagelse Kommune","330","Andel indpendlere","2026",
"Slagelse Kommune","330","Andel udpendlere","2026",
"Slagelse Kommune","330","Befolkningsandel i bymæssig bebyggelse","2026",
"Slagelse Kommune","330","Befolkningstæthed (indb/km2)","2026",
"Slagelse Kommune","330","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Slagelse Kommune","330","Indbyggertal 1. januar","2026",
"Slagelse Kommune","330","Socioøkonomisk indeks","2026","1.29"
"Slagelse Kommune","330","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Stevns Kommune","336","Andel 18+-årige","2026",
"Stevns Kommune","336","Andel 18-66-årige","2026",
"Stevns Kommune","336","Andel 25-64-årige","2026",
"Stevns Kommune","336","Andel 25-64-årige med videregående uddannelse","2026",
"Stevns Kommune","336","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Stevns Kommune","336","Andel almennyttige boliger","2026",
"Stevns Kommune","336","Andel ejerboliger","2026",
"Stevns Kommune","336","Andel indpendlere","2026",
"Stevns Kommune","336","Andel udpendlere","2026",
"Stevns Kommune","336","Befolkningsandel i bymæssig bebyggelse","2026",
"Stevns Kommune","336","Befolkningstæthed (indb/km2)","2026",
"Stevns Kommune","336","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Stevns Kommune","336","Indbyggertal 1. januar","2026",
"Stevns Kommune","336","Socioøkonomisk indeks","2026","0.96"
"Stevns Kommune","336","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Sorø Kommune","340","Andel 18+-årige","2026",
"Sorø Kommune","340","Andel 18-66-årige","2026",
"Sorø Kommune","340","Andel 25-64-årige","2026",
"Sorø Kommune","340","Andel 25-64-årige med videregående uddannelse","2026",
"Sorø Kommune","340","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Sorø Kommune","340","Andel almennyttige boliger","2026",
"Sorø Kommune","340","Andel ejerboliger","2026",
"Sorø Kommune","340","Andel indpendlere","2026",
"Sorø Kommune","340","Andel udpendlere","2026",
"Sorø Kommune","340","Befolkningsandel i bymæssig bebyggelse","2026",
"Sorø Kommune","340","Befolkningstæthed (indb/km2)","2026",
"Sorø Kommune","340","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Sorø Kommune","340","Indbyggertal 1. januar","2026",
"Sorø Kommune","340","Socioøkonomisk indeks","2026","1.02"
"Sorø Kommune","340","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Lejre Kommune","350","Andel 18+-årige","2026",
"Lejre Kommune","350","Andel 18-66-årige","2026",
"Lejre Kommune","350","Andel 25-64-årige","2026",
"Lejre Kommune","350","Andel 25-64-årige med videregående uddannelse","2026",
"Lejre Kommune","350","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Lejre Kommune","350","Andel almennyttige boliger","2026",
"Lejre Kommune","350","Andel ejerboliger","2026",
"Lejre Kommune","350","Andel indpendlere","2026",
"Lejre Kommune","350","Andel udpendlere","2026",
"Lejre Kommune","350","Befolkningsandel i bymæssig bebyggelse","2026",
"Lejre Kommune","350","Befolkningstæthed (indb/km2)","2026",
"Lejre Kommune","350","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Lejre Kommune","350","Indbyggertal 1. januar","2026",
"Lejre Kommune","350","Socioøkonomisk indeks","2026","0.73"
"Lejre Kommune","350","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Lolland Kommune","360","Andel 18+-årige","2026",
"Lolland Kommune","360","Andel 18-66-årige","2026",
"Lolland Kommune","360","Andel 25-64-årige","2026",
"Lolland Kommune","360","Andel 25-64-årige med videregående uddannelse","2026",
"Lolland Kommune","360","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Lolland Kommune","360","Andel almennyttige boliger","2026",
"Lolland Kommune","360","Andel ejerboliger","2026",
"Lolland Kommune","360","Andel indpendlere","2026",
"Lolland Kommune","360","Andel udpendlere","2026",
"Lolland Kommune","360","Befolkningsandel i bymæssig bebyggelse","2026",
"Lolland Kommune","360","Befolkningstæthed (indb/km2)","2026",
"Lolland Kommune","360","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Lolland Kommune","360","Indbyggertal 1. januar","2026",
"Lolland Kommune","360","Socioøkonomisk indeks","2026","1.62"
"Lolland Kommune","360","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Næstved Kommune","370","Andel 18+-årige","2026",
"Næstved Kommune","370","Andel 18-66-årige","2026",
"Næstved Kommune","370","Andel 25-64-årige","2026",
"Næstved Kommune","370","Andel 25-64-årige med videregående uddannelse","2026",
"Næstved Kommune","370","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Næstved Kommune","370","Andel almennyttige boliger","2026",
"Næstved Kommune","370","Andel ejerboliger","2026",
"Næstved Kommune","370","Andel indpendlere","2026",
"Næstved Kommune","370","Andel udpendlere","2026",
"Næstved Kommune","370","Befolkningsandel i bymæssig bebyggelse","2026",
"Næstved Kommune","370","Befolkningstæthed (indb/km2)","2026",
"Næstved Kommune","370","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Næstved Kommune","370","Indbyggertal 1. januar","2026",
"Næstved Kommune","370","Socioøkonomisk indeks","2026","1.1"
"Næstved Kommune","370","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Guldborgsund Kommune","376","Andel 18+-årige","2026",
"Guldborgsund Kommune","376","Andel 18-66-årige","2026",
"Guldborgsund Kommune","376","Andel 25-64-årige","2026",
"Guldborgsund Kommune","376","Andel 25-64-årige med videregående uddannelse","2026",
"Guldborgsund Kommune","376","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Guldborgsund Kommune","376","Andel almennyttige boliger","2026",
"Guldborgsund Kommune","376","Andel ejerboliger","2026",
"Guldborgsund Kommune","376","Andel indpendlere","2026",
"Guldborgsund Kommune","376","Andel udpendlere","2026",
"Guldborgsund Kommune","376","Befolkningsandel i bymæssig bebyggelse","2026",
"Guldborgsund Kommune","376","Befolkningstæthed (indb/km2)","2026",
"Guldborgsund Kommune","376","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Guldborgsund Kommune","376","Indbyggertal 1. januar","2026",
"Guldborgsund Kommune","376","Socioøkonomisk indeks","2026","1.32"
"Guldborgsund Kommune","376","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Vordingborg Kommune","390","Andel 18+-årige","2026",
"Vordingborg Kommune","390","Andel 18-66-årige","2026",
"Vordingborg Kommune","390","Andel 25-64-årige","2026",
"Vordingborg Kommune","390","Andel 25-64-årige med videregående uddannelse","2026",
"Vordingborg Kommune","390","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Vordingborg Kommune","390","Andel almennyttige boliger","2026",
"Vordingborg Kommune","390","Andel ejerboliger","2026",
"Vordingborg Kommune","390","Andel indpendlere","2026",
"Vordingborg Kommune","390","Andel udpendlere","2026",
"Vordingborg Kommune","390","Befolkningsandel i bymæssig bebyggelse","2026",
"Vordingborg Kommune","390","Befolkningstæthed (indb/km2)","2026",
"Vordingborg Kommune","390","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Vordingborg Kommune","390","Indbyggertal 1. januar","2026",
"Vordingborg Kommune","390","Socioøkonomisk indeks","2026","1.18"
"Vordingborg Kommune","390","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Bornholms Kommune","400","Andel 18+-årige","2026",
"Bornholms Kommune","400","Andel 18-66-årige","2026",
"Bornholms Kommune","400","Andel 25-64-årige","2026",
"Bornholms Kommune","400","Andel 25-64-årige med videregående uddannelse","2026",
"Bornholms Kommune","400","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Bornholms Kommune","400","Andel almennyttige boliger","2026",
"Bornholms Kommune","400","Andel ejerboliger","2026",
"Bornholms Kommune","400","Andel indpendlere","2026",
"Bornholms Kommune","400","Andel udpendlere","2026",
"Bornholms Kommune","400","Befolkningsandel i bymæssig bebyggelse","2026",
"Bornholms Kommune","400","Befolkningstæthed (indb/km2)","2026",
"Bornholms Kommune","400","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Bornholms Kommune","400","Indbyggertal 1. januar","2026",
"Bornholms Kommune","400","Socioøkonomisk indeks","2026","1.08"
"Bornholms Kommune","400","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Middelfart Kommune","410","Andel 18+-årige","2026",
"Middelfart Kommune","410","Andel 18-66-årige","2026",
"Middelfart Kommune","410","Andel 25-64-årige","2026",
"Middelfart Kommune","410","Andel 25-64-årige med videregående uddannelse","2026",
"Middelfart Kommune","410","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Middelfart Kommune","410","Andel almennyttige boliger","2026",
"Middelfart Kommune","410","Andel ejerboliger","2026",
"Middelfart Kommune","410","Andel indpendlere","2026",
"Middelfart Kommune","410","Andel udpendlere","2026",
"Middelfart Kommune","410","Befolkningsandel i bymæssig bebyggelse","2026",
"Middelfart Kommune","410","Befolkningstæthed (indb/km2)","2026",
"Middelfart Kommune","410","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Middelfart Kommune","410","Indbyggertal 1. januar","2026",
"Middelfart Kommune","410","Socioøkonomisk indeks","2026","0.86"
"Middelfart Kommune","410","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Assens Kommune","420","Andel 18+-årige","2026",
"Assens Kommune","420","Andel 18-66-årige","2026",
"Assens Kommune","420","Andel 25-64-årige","2026",
"Assens Kommune","420","Andel 25-64-årige med videregående uddannelse","2026",
"Assens Kommune","420","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Assens Kommune","420","Andel almennyttige boliger","2026",
"Assens Kommune","420","Andel ejerboliger","2026",
"Assens Kommune","420","Andel indpendlere","2026",
"Assens Kommune","420","Andel udpendlere","2026",
"Assens Kommune","420","Befolkningsandel i bymæssig bebyggelse","2026",
"Assens Kommune","420","Befolkningstæthed (indb/km2)","2026",
"Assens Kommune","420","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Assens Kommune","420","Indbyggertal 1. januar","2026",
"Assens Kommune","420","Socioøkonomisk indeks","2026","1.05"
"Assens Kommune","420","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Faaborg-Midtfyn Kommune","430","Andel 18+-årige","2026",
"Faaborg-Midtfyn Kommune","430","Andel 18-66-årige","2026",
"Faaborg-Midtfyn Kommune","430","Andel 25-64-årige","2026",
"Faaborg-Midtfyn Kommune","430","Andel 25-64-årige med videregående uddannelse","2026",
"Faaborg-Midtfyn Kommune","430","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Faaborg-Midtfyn Kommune","430","Andel almennyttige boliger","2026",
"Faaborg-Midtfyn Kommune","430","Andel ejerboliger","2026",
"Faaborg-Midtfyn Kommune","430","Andel indpendlere","2026",
"Faaborg-Midtfyn Kommune","430","Andel udpendlere","2026",
"Faaborg-Midtfyn Kommune","430","Befolkningsandel i bymæssig bebyggelse","2026",
"Faaborg-Midtfyn Kommune","430","Befolkningstæthed (indb/km2)","2026",
"Faaborg-Midtfyn Kommune","430","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Faaborg-Midtfyn Kommune","430","Indbyggertal 1. januar","2026",
"Faaborg-Midtfyn Kommune","430","Socioøkonomisk indeks","2026","1.01"
"Faaborg-Midtfyn Kommune","430","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Kerteminde Kommune","440","Andel 18+-årige","2026",
"Kerteminde Kommune","440","Andel 18-66-årige","2026",
"Kerteminde Kommune","440","Andel 25-64-årige","2026",
"Kerteminde Kommune","440","Andel 25-64-årige med videregående uddannelse","2026",
"Kerteminde Kommune","440","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Kerteminde Kommune","440","Andel almennyttige boliger","2026",
"Kerteminde Kommune","440","Andel ejerboliger","2026",
"Kerteminde Kommune","440","Andel indpendlere","2026",
"Kerteminde Kommune","440","Andel udpendlere","2026",
"Kerteminde Kommune","440","Befolkningsandel i bymæssig bebyggelse","2026",
"Kerteminde Kommune","440","Befolkningstæthed (indb/km2)","2026",
"Kerteminde Kommune","440","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Kerteminde Kommune","440","Indbyggertal 1. januar","2026",
"Kerteminde Kommune","440","Socioøkonomisk indeks","2026","1"
"Kerteminde Kommune","440","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Nyborg Kommune","450","Andel 18+-årige","2026",
"Nyborg Kommune","450","Andel 18-66-årige","2026",
"Nyborg Kommune","450","Andel 25-64-årige","2026",
"Nyborg Kommune","450","Andel 25-64-årige med videregående uddannelse","2026",
"Nyborg Kommune","450","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Nyborg Kommune","450","Andel almennyttige boliger","2026",
"Nyborg Kommune","450","Andel ejerboliger","2026",
"Nyborg Kommune","450","Andel indpendlere","2026",
"Nyborg Kommune","450","Andel udpendlere","2026",
"Nyborg Kommune","450","Befolkningsandel i bymæssig bebyggelse","2026",
"Nyborg Kommune","450","Befolkningstæthed (indb/km2)","2026",
"Nyborg Kommune","450","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Nyborg Kommune","450","Indbyggertal 1. januar","2026",
"Nyborg Kommune","450","Socioøkonomisk indeks","2026","1.14"
"Nyborg Kommune","450","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Odense Kommune","461","Andel 18+-årige","2026",
"Odense Kommune","461","Andel 18-66-årige","2026",
"Odense Kommune","461","Andel 25-64-årige","2026",
"Odense Kommune","461","Andel 25-64-årige med videregående uddannelse","2026",
"Odense Kommune","461","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Odense Kommune","461","Andel almennyttige boliger","2026",
"Odense Kommune","461","Andel ejerboliger","2026",
"Odense Kommune","461","Andel indpendlere","2026",
"Odense Kommune","461","Andel udpendlere","2026",
"Odense Kommune","461","Befolkningsandel i bymæssig bebyggelse","2026",
"Odense Kommune","461","Befolkningstæthed (indb/km2)","2026",
"Odense Kommune","461","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Odense Kommune","461","Indbyggertal 1. januar","2026",
"Odense Kommune","461","Socioøkonomisk indeks","2026","1.1"
"Odense Kommune","461","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Svendborg Kommune","479","Andel 18+-årige","2026",
"Svendborg Kommune","479","Andel 18-66-årige","2026",
"Svendborg Kommune","479","Andel 25-64-årige","2026",
"Svendborg Kommune","479","Andel 25-64-årige med videregående uddannelse","2026",
"Svendborg Kommune","479","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Svendborg Kommune","479","Andel almennyttige boliger","2026",
"Svendborg Kommune","479","Andel ejerboliger","2026",
"Svendborg Kommune","479","Andel indpendlere","2026",
"Svendborg Kommune","479","Andel udpendlere","2026",
"Svendborg Kommune","479","Befolkningsandel i bymæssig bebyggelse","2026",
"Svendborg Kommune","479","Befolkningstæthed (indb/km2)","2026",
"Svendborg Kommune","479","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Svendborg Kommune","479","Indbyggertal 1. januar","2026",
"Svendborg Kommune","479","Socioøkonomisk indeks","2026","1.03"
"Svendborg Kommune","479","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Nordfyns Kommune","480","Andel 18+-årige","2026",
"Nordfyns Kommune","480","Andel 18-66-årige","2026",
"Nordfyns Kommune","480","Andel 25-64-årige","2026",
"Nordfyns Kommune","480","Andel 25-64-årige med videregående uddannelse","2026",
"Nordfyns Kommune","480","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Nordfyns Kommune","480","Andel almennyttige boliger","2026",
"Nordfyns Kommune","480","Andel ejerboliger","2026",
"Nordfyns Kommune","480","Andel indpendlere","2026",
"Nordfyns Kommune","480","Andel udpendlere","2026",
"Nordfyns Kommune","480","Befolkningsandel i bymæssig bebyggelse","2026",
"Nordfyns Kommune","480","Befolkningstæthed (indb/km2)","2026",
"Nordfyns Kommune","480","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Nordfyns Kommune","480","Indbyggertal 1. januar","2026",
"Nordfyns Kommune","480","Socioøkonomisk indeks","2026","1.09"
"Nordfyns Kommune","480","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Langeland Kommune","482","Andel 18+-årige","2026",
"Langeland Kommune","482","Andel 18-66-årige","2026",
"Langeland Kommune","482","Andel 25-64-årige","2026",
"Langeland Kommune","482","Andel 25-64-årige med videregående uddannelse","2026",
"Langeland Kommune","482","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Langeland Kommune","482","Andel almennyttige boliger","2026",
"Langeland Kommune","482","Andel ejerboliger","2026",
"Langeland Kommune","482","Andel indpendlere","2026",
"Langeland Kommune","482","Andel udpendlere","2026",
"Langeland Kommune","482","Befolkningsandel i bymæssig bebyggelse","2026",
"Langeland Kommune","482","Befolkningstæthed (indb/km2)","2026",
"Langeland Kommune","482","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Langeland Kommune","482","Indbyggertal 1. januar","2026",
"Langeland Kommune","482","Socioøkonomisk indeks","2026","1.31"
"Langeland Kommune","482","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Ærø Kommune","492","Andel 18+-årige","2026",
"Ærø Kommune","492","Andel 18-66-årige","2026",
"Ærø Kommune","492","Andel 25-64-årige","2026",
"Ærø Kommune","492","Andel 25-64-årige med videregående uddannelse","2026",
"Ærø Kommune","492","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Ærø Kommune","492","Andel almennyttige boliger","2026",
"Ærø Kommune","492","Andel ejerboliger","2026",
"Ærø Kommune","492","Andel indpendlere","2026",
"Ærø Kommune","492","Andel udpendlere","2026",
"Ærø Kommune","492","Befolkningsandel i bymæssig bebyggelse","2026",
"Ærø Kommune","492","Befolkningstæthed (indb/km2)","2026",
"Ærø Kommune","492","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Ærø Kommune","492","Indbyggertal 1. januar","2026",
"Ærø Kommune","492","Socioøkonomisk indeks","2026","1"
"Ærø Kommune","492","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Haderslev Kommune","510","Andel 18+-årige","2026",
"Haderslev Kommune","510","Andel 18-66-årige","2026",
"Haderslev Kommune","510","Andel 25-64-årige","2026",
"Haderslev Kommune","510","Andel 25-64-årige med videregående uddannelse","2026",
